time,count
2022-10-10 12:00:00,1
2022-10-11 00:00:00,
2022-10-11 12:00:00,
2022-10-12 00:00:00,
2022-10-12 12:00:00,
2022-10-13 00:00:00,
2022-10-13 12:00:00,
2022-10-14 00:00:00,1
2022-10-14 12:00:00,
2022-10-15 00:00:00,
2022-10-15 12:00:00,4
2022-10-16 00:00:00,21
2022-10-16 12:00:00,8
2022-10-17 00:00:00,5
2022-10-17 12:00:00,2
2022-10-18 00:00:00,6
2022-10-18 12:00:00,3
2022-10-19 00:00:00,
2022-10-19 12:00:00,
2022-10-20 00:00:00,3
2022-10-20 12:00:00,2
2022-10-21 00:00:00,3
2022-10-21 12:00:00,3
2022-10-22 00:00:00,4
2022-10-22 12:00:00,2
2022-10-23 00:00:00,6
2022-10-23 12:00:00,12
2022-10-24 00:00:00,12
2022-10-24 12:00:00,3
2022-10-25 00:00:00,
2022-10-25 12:00:00,2
2022-10-26 00:00:00,1
2022-10-26 12:00:00,1
2022-10-27 00:00:00,
2022-10-27 12:00:00,
2022-10-28 00:00:00,
2022-10-28 12:00:00,1
2022-10-29 00:00:00,
2022-10-29 12:00:00,
2022-10-30 00:00:00,1
2022-10-30 12:00:00,
2022-10-31 00:00:00,
2022-10-31 12:00:00,
2022-11-01 00:00:00,17
2022-11-01 12:00:00,8
2022-11-02 00:00:00,1
