time,polarity
2026-06-08 00:00:00,0.4444444444444444
2026-06-09 00:00:00,0.0
2026-06-10 00:00:00,-0.1
2026-06-11 00:00:00,1.0
2026-06-12 00:00:00,1.0
2026-06-13 00:00:00,0.3333333333333333
2026-06-14 00:00:00,0.5
2026-06-15 00:00:00,0.25
2026-06-16 00:00:00,0.0
2026-06-17 00:00:00,
2026-06-18 00:00:00,
2026-06-19 00:00:00,
2026-06-20 00:00:00,
2026-06-21 00:00:00,
2026-06-22 00:00:00,
2026-06-23 00:00:00,
2026-06-24 00:00:00,
2026-06-25 00:00:00,
2026-06-26 00:00:00,
2026-06-27 00:00:00,
2026-06-28 00:00:00,
2026-06-29 00:00:00,
2026-06-30 00:00:00,
2026-07-01 00:00:00,
2026-07-02 00:00:00,
2026-07-03 00:00:00,
2026-07-04 00:00:00,
2026-07-05 00:00:00,
