time,polarity
2026-06-08 00:00:00,0.8112313700279552
2026-06-09 00:00:00,-0.5542965175052584
2026-06-10 00:00:00,-0.8615402922002315
2026-06-11 00:00:00,2.5181412294444727
2026-06-12 00:00:00,2.5181412294444727
2026-06-13 00:00:00,0.46984939814465176
2026-06-14 00:00:00,0.981922355969607
2026-06-15 00:00:00,0.21381291923217427
2026-06-16 00:00:00,-0.5542965175052584
2026-06-17 00:00:00,
2026-06-18 00:00:00,
2026-06-19 00:00:00,
2026-06-20 00:00:00,
2026-06-21 00:00:00,
2026-06-22 00:00:00,
2026-06-23 00:00:00,
2026-06-24 00:00:00,
2026-06-25 00:00:00,
2026-06-26 00:00:00,
2026-06-27 00:00:00,
2026-06-28 00:00:00,
2026-06-29 00:00:00,
2026-06-30 00:00:00,
2026-07-01 00:00:00,
2026-07-02 00:00:00,
2026-07-03 00:00:00,
2026-07-04 00:00:00,
2026-07-05 00:00:00,
