time,count
2024-10-22 00:00:00,23
2024-10-22 12:00:00,82
2024-10-23 00:00:00,44
2024-10-23 12:00:00,54
2024-10-24 00:00:00,30
2024-10-24 12:00:00,60
2024-10-25 00:00:00,20
2024-10-25 12:00:00,70
2024-10-26 00:00:00,49
2024-10-26 12:00:00,17
2024-10-27 00:00:00,108
2024-10-27 12:00:00,29
2024-10-28 00:00:00,4
2024-10-28 12:00:00,39
2024-10-29 00:00:00,104
2024-10-29 12:00:00,136
2024-10-30 00:00:00,32
2024-10-30 12:00:00,10
2024-10-31 00:00:00,346
2024-10-31 12:00:00,73
2024-11-01 00:00:00,27
2024-11-01 12:00:00,35
2024-11-02 00:00:00,16
2024-11-02 12:00:00,3
2024-11-03 00:00:00,10
2024-11-03 12:00:00,21
2024-11-04 00:00:00,18
2024-11-04 12:00:00,30
2024-11-05 00:00:00,16
2024-11-05 12:00:00,16
2024-11-06 00:00:00,1
2024-11-06 12:00:00,13
