time,count
2025-06-14 06:00:00,10
2025-06-14 12:00:00,7
2025-06-14 18:00:00,8
2025-06-15 00:00:00,8
2025-06-15 06:00:00,19
2025-06-15 12:00:00,21
2025-06-15 18:00:00,26
2025-06-16 00:00:00,17
2025-06-16 06:00:00,13
2025-06-16 12:00:00,13
2025-06-16 18:00:00,8
2025-06-17 00:00:00,19
2025-06-17 06:00:00,11
2025-06-17 12:00:00,10
2025-06-17 18:00:00,232
2025-06-18 00:00:00,85
2025-06-18 06:00:00,8
2025-06-18 12:00:00,14
2025-06-18 18:00:00,5
2025-06-19 00:00:00,15
2025-06-19 06:00:00,13
2025-06-19 12:00:00,12
2025-06-19 18:00:00,18
2025-06-20 00:00:00,12
2025-06-20 06:00:00,12
2025-06-20 12:00:00,65
2025-06-20 18:00:00,23
2025-06-21 00:00:00,9
2025-06-21 06:00:00,12
2025-06-21 12:00:00,19
2025-06-21 18:00:00,9
2025-06-22 00:00:00,5
2025-06-22 06:00:00,1
2025-06-22 12:00:00,
2025-06-22 18:00:00,2
2025-06-23 00:00:00,11
2025-06-23 06:00:00,20
2025-06-23 12:00:00,110
2025-06-23 18:00:00,85
2025-06-24 00:00:00,29
2025-06-24 06:00:00,28
2025-06-24 12:00:00,99
2025-06-24 18:00:00,27
2025-06-25 00:00:00,28
2025-06-25 06:00:00,22
2025-06-25 12:00:00,40
2025-06-25 18:00:00,44
2025-06-26 00:00:00,18
2025-06-26 06:00:00,7
2025-06-26 12:00:00,6
2025-06-26 18:00:00,5
2025-06-27 00:00:00,
2025-06-27 06:00:00,
2025-06-27 12:00:00,
2025-06-27 18:00:00,2
