time,count
2025-05-01 00:00:00,431
2025-05-01 12:00:00,220
2025-05-02 00:00:00,634
2025-05-02 12:00:00,608
2025-05-03 00:00:00,1011
2025-05-03 12:00:00,2783
2025-05-04 00:00:00,1517
2025-05-04 12:00:00,582
2025-05-05 00:00:00,714
2025-05-05 12:00:00,466
2025-05-06 00:00:00,336
2025-05-06 12:00:00,141
2025-05-07 00:00:00,285
2025-05-07 12:00:00,216
2025-05-08 00:00:00,281
2025-05-08 12:00:00,95
2025-05-09 00:00:00,167
2025-05-09 12:00:00,36
2025-05-10 00:00:00,101
2025-05-10 12:00:00,41
2025-05-11 00:00:00,313
2025-05-11 12:00:00,93
2025-05-12 00:00:00,128
2025-05-12 12:00:00,59
2025-05-13 00:00:00,141
2025-05-13 12:00:00,44
2025-05-14 00:00:00,95
2025-05-14 12:00:00,157
2025-05-15 00:00:00,180
2025-05-15 12:00:00,64
2025-05-16 00:00:00,91
2025-05-16 12:00:00,18
2025-05-17 00:00:00,56
2025-05-17 12:00:00,24
2025-05-18 00:00:00,141
2025-05-18 12:00:00,232
2025-05-19 00:00:00,325
2025-05-19 12:00:00,135
2025-05-20 00:00:00,112
2025-05-20 12:00:00,30
2025-05-21 00:00:00,64
2025-05-21 12:00:00,35
2025-05-22 00:00:00,47
2025-05-22 12:00:00,19
2025-05-23 00:00:00,53
2025-05-23 12:00:00,25
2025-05-24 00:00:00,41
2025-05-24 12:00:00,23
2025-05-25 00:00:00,34
2025-05-25 12:00:00,33
2025-05-26 00:00:00,76
2025-05-26 12:00:00,31
2025-05-27 00:00:00,41
2025-05-27 12:00:00,24
2025-05-28 00:00:00,26
2025-05-28 12:00:00,14
