time,count
2025-05-01 00:00:00,651
2025-05-02 00:00:00,1242
2025-05-03 00:00:00,3794
2025-05-04 00:00:00,2099
2025-05-05 00:00:00,1180
2025-05-06 00:00:00,477
2025-05-07 00:00:00,501
2025-05-08 00:00:00,376
2025-05-09 00:00:00,203
2025-05-10 00:00:00,142
2025-05-11 00:00:00,406
2025-05-12 00:00:00,187
2025-05-13 00:00:00,185
2025-05-14 00:00:00,252
2025-05-15 00:00:00,244
2025-05-16 00:00:00,109
2025-05-17 00:00:00,80
2025-05-18 00:00:00,373
2025-05-19 00:00:00,460
2025-05-20 00:00:00,142
2025-05-21 00:00:00,99
2025-05-22 00:00:00,66
2025-05-23 00:00:00,78
2025-05-24 00:00:00,64
2025-05-25 00:00:00,67
2025-05-26 00:00:00,107
2025-05-27 00:00:00,65
2025-05-28 00:00:00,40
