time,polarity
2022-04-01 12:00:00,0.3125
2022-04-02 00:00:00,0.5454545454545454
2022-04-02 12:00:00,0.3103448275862069
2022-04-03 00:00:00,0.6666666666666666
2022-04-03 12:00:00,0.0
2022-04-04 00:00:00,-0.07692307692307693
2022-04-04 12:00:00,0.0
2022-04-05 00:00:00,0.0
2022-04-05 12:00:00,0.5
2022-04-06 00:00:00,
2022-04-06 12:00:00,0.5
2022-04-07 00:00:00,
2022-04-07 12:00:00,0.46153846153846156
2022-04-08 00:00:00,0.6333333333333333
2022-04-08 12:00:00,0.4068627450980392
2022-04-09 00:00:00,0.16483516483516483
2022-04-09 12:00:00,0.42207792207792205
2022-04-10 00:00:00,0.16129032258064516
2022-04-10 12:00:00,0.25
2022-04-11 00:00:00,0.29411764705882354
2022-04-11 12:00:00,0.0
2022-04-12 00:00:00,0.0
2022-04-12 12:00:00,0.0
2022-04-13 00:00:00,1.0
2022-04-13 12:00:00,0.0
2022-04-14 00:00:00,0.5
2022-04-14 12:00:00,0.0
2022-04-15 00:00:00,0.0
2022-04-15 12:00:00,0.0
2022-04-16 00:00:00,
2022-04-16 12:00:00,
2022-04-17 00:00:00,0.0
2022-04-17 12:00:00,0.6666666666666666
2022-04-18 00:00:00,
2022-04-18 12:00:00,
2022-04-19 00:00:00,
2022-04-19 12:00:00,0.0
2022-04-20 00:00:00,
2022-04-20 12:00:00,
2022-04-21 00:00:00,
2022-04-21 12:00:00,
2022-04-22 00:00:00,1.0
2022-04-22 12:00:00,
2022-04-23 00:00:00,
2022-04-23 12:00:00,0.3333333333333333
2022-04-24 00:00:00,0.0
2022-04-24 12:00:00,0.6
2022-04-25 00:00:00,0.6428571428571429
2022-04-25 12:00:00,0.4583333333333333
2022-04-26 00:00:00,0.6666666666666666
2022-04-26 12:00:00,0.0
2022-04-27 00:00:00,0.0
2022-04-27 12:00:00,
2022-04-28 00:00:00,
2022-04-28 12:00:00,
2022-04-29 00:00:00,
2022-04-29 12:00:00,
2022-04-30 00:00:00,
2022-04-30 12:00:00,-1.0
2022-05-01 00:00:00,
2022-05-01 12:00:00,
2022-05-02 00:00:00,1.0
2022-05-02 12:00:00,1.0
2022-05-03 00:00:00,1.0
2022-05-03 12:00:00,
2022-05-04 00:00:00,
2022-05-04 12:00:00,
2022-05-05 00:00:00,
2022-05-05 12:00:00,
2022-05-06 00:00:00,0.0
2022-05-06 12:00:00,0.0
2022-05-07 00:00:00,
2022-05-07 12:00:00,
2022-05-08 00:00:00,
2022-05-08 12:00:00,1.0
2022-05-09 00:00:00,1.0
2022-05-09 12:00:00,0.8
2022-05-10 00:00:00,
2022-05-10 12:00:00,
2022-05-11 00:00:00,
2022-05-11 12:00:00,
2022-05-12 00:00:00,
2022-05-12 12:00:00,0.038461538461538464
2022-05-13 00:00:00,0.5
2022-05-13 12:00:00,0.0
2022-05-14 00:00:00,
2022-05-14 12:00:00,
2022-05-15 00:00:00,
2022-05-15 12:00:00,
2022-05-16 00:00:00,0.0
2022-05-16 12:00:00,
2022-05-17 00:00:00,
2022-05-17 12:00:00,
2022-05-18 00:00:00,
2022-05-18 12:00:00,
2022-05-19 00:00:00,
2022-05-19 12:00:00,
2022-05-20 00:00:00,
2022-05-20 12:00:00,
2022-05-21 00:00:00,
2022-05-21 12:00:00,
2022-05-22 00:00:00,
2022-05-22 12:00:00,
2022-05-23 00:00:00,
2022-05-23 12:00:00,
2022-05-24 00:00:00,
2022-05-24 12:00:00,
2022-05-25 00:00:00,
2022-05-25 12:00:00,
2022-05-26 00:00:00,
2022-05-26 12:00:00,
2022-05-27 00:00:00,
2022-05-27 12:00:00,
2022-05-28 00:00:00,
2022-05-28 12:00:00,0.0
2022-05-29 00:00:00,
2022-05-29 12:00:00,
2022-05-30 00:00:00,
2022-05-30 12:00:00,1.0
2022-05-31 00:00:00,1.0
