time,polarity
2024-12-04,-0.4208266840340572
2024-12-05,0.32285245850956024
2024-12-06,0.2154625169698671
2024-12-07,
2024-12-08,1.1206063099472805
2024-12-09,1.1206063099472805
2024-12-10,-1.293110471325822
2024-12-11,2.930893895902108
2024-12-12,0.4623199150546162
2024-12-13,
2024-12-14,
2024-12-15,
2024-12-16,
2024-12-17,
2024-12-18,
2024-12-19,
2024-12-20,
2024-12-21,
2024-12-22,1.1206063099472805
2024-12-23,-0.08625208068927065
2024-12-24,
2024-12-25,-2.499968861962373
2024-12-26,-2.499968861962373
2024-12-27,
2024-12-28,
2024-12-29,
2024-12-30,-0.20693791975292575
2024-12-31,-0.4991246880123014
2025-01-01,-0.7567289643762436
2025-01-02,0.9137163001238717
2025-01-03,0.5842248029977023
2025-01-04,-2.499968861962373
2025-01-05,0.9300497219520356
2025-01-06,-0.5765383018853697
2025-01-07,0.4769485016077865
2025-01-08,0.3069045692618752
2025-01-09,-0.20831606147143408
2025-01-10,0.10165891824207234
2025-01-11,0.35070327747082686
2025-01-12,0.13678129745711448
2025-01-13,0.06202445564088104
2025-01-14,0.059624080914793466
2025-01-15,-0.05947404447774822
2025-01-16,0.2226348132692127
2025-01-17,0.059822998292674984
2025-01-18,0.02791019950607863
2025-01-19,0.20833540048973
2025-01-20,-0.3034245417292671
2025-01-21,0.03443375837438445
2025-01-22,0.12925834621011334
2025-01-23,0.0872032750499908
2025-01-24,-0.2837070501023031
2025-01-25,-0.4168982151102436
2025-01-26,-0.5311159400115031
2025-01-27,-0.4463311415021434
2025-01-28,-0.44036023123532475
2025-01-29,-0.03021936969543077
2025-01-30,0.6114629263974855
2025-01-31,0.3695295455617673
2025-02-01,-0.9648079972446146
2025-02-02,-0.7395057049787802
2025-02-03,-0.44830959788023617
2025-02-04,0.1253771157730629
2025-02-05,-1.0129469163566227
2025-02-06,-0.7525870222376367
2025-02-07,-0.9945063334363662
2025-02-08,0.29774831633145016
2025-02-09,-0.5251096772843802
2025-02-10,0.9395775513517979
2025-02-11,1.7240355052655563
2025-02-12,1.767137590645433
2025-02-13,1.7240355052655563
2025-02-14,0.6033812853887586
2025-02-15,1.1206063099472805
2025-02-16,1.1206063099472805
2025-02-17,0.10231954284769042
2025-02-18,0.2154625169698671
2025-02-19,-0.21851053445765983
2025-02-20,0.4054309673478428
2025-02-21,0.15511959743803955
2025-02-22,-0.11605105329758063
2025-02-23,-0.4596447319359385
2025-02-24,-0.36323597362224974
2025-02-25,-0.9159672242518997
2025-02-26,0.5489365459615457
2025-02-27,0.08615626083023667
2025-02-28,0.39649127556534974
2025-03-01,4.741181481856935
2025-03-02,-2.499968861962373
2025-03-03,-2.499968861962373
2025-03-04,2.930893895902108
2025-03-05,3.534323091220383
2025-03-06,
2025-03-07,-0.6896812760075464
2025-03-08,
2025-03-09,1.1206063099472805
2025-03-10,-2.499968861962373
2025-03-11,
2025-03-12,
2025-03-13,1.1206063099472805
2025-03-14,
2025-03-15,1.1206063099472805
2025-03-16,4.741181481856935
2025-03-17,
2025-03-18,
2025-03-19,
2025-03-20,
2025-03-21,-0.6896812760075464
2025-03-22,-0.6896812760075464
2025-03-23,-0.6896812760075464
