time,count
2026-05-12 00:00:00,8
2026-05-12 12:00:00,12
2026-05-13 00:00:00,16
2026-05-13 12:00:00,9
2026-05-14 00:00:00,6
2026-05-14 12:00:00,6
2026-05-15 00:00:00,5
2026-05-15 12:00:00,27
2026-05-16 00:00:00,10
2026-05-16 12:00:00,6
2026-05-17 00:00:00,3
2026-05-17 12:00:00,6
2026-05-18 00:00:00,6
2026-05-18 12:00:00,6
2026-05-19 00:00:00,4
2026-05-19 12:00:00,13
2026-05-20 00:00:00,3
2026-05-20 12:00:00,6
2026-05-21 00:00:00,1
2026-05-21 12:00:00,1
2026-05-22 00:00:00,
2026-05-22 12:00:00,12
2026-05-23 00:00:00,4
2026-05-23 12:00:00,17
2026-05-24 00:00:00,12
2026-05-24 12:00:00,6
2026-05-25 00:00:00,4
2026-05-25 12:00:00,1
2026-05-26 00:00:00,2
2026-05-26 12:00:00,1
2026-05-27 00:00:00,1
2026-05-27 12:00:00,3
2026-05-28 00:00:00,2
2026-05-28 12:00:00,4
2026-05-29 00:00:00,4
2026-05-29 12:00:00,
2026-05-30 00:00:00,2
2026-05-30 12:00:00,
2026-05-31 00:00:00,
2026-05-31 12:00:00,
2026-06-01 00:00:00,
2026-06-01 12:00:00,2
2026-06-02 00:00:00,
2026-06-02 12:00:00,
2026-06-03 00:00:00,
2026-06-03 12:00:00,9
2026-06-04 00:00:00,5
2026-06-04 12:00:00,4
2026-06-05 00:00:00,
2026-06-05 12:00:00,
2026-06-06 00:00:00,
2026-06-06 12:00:00,
2026-06-07 00:00:00,
2026-06-07 12:00:00,
2026-06-08 00:00:00,
2026-06-08 12:00:00,
