time,count
2026-05-24 00:00:00,
2026-05-24 12:00:00,3.378975078181733
2026-05-25 00:00:00,1.828621807015997
2026-05-25 12:00:00,2.2895376443895943
2026-05-26 00:00:00,1.1162973310749829
2026-05-26 12:00:00,0.3201699756114965
2026-05-27 00:00:00,
2026-05-27 12:00:00,
2026-05-28 00:00:00,
2026-05-28 12:00:00,-0.4759573798519898
2026-05-29 00:00:00,
2026-05-29 12:00:00,-0.4759573798519898
2026-05-30 00:00:00,
2026-05-30 12:00:00,
2026-05-31 00:00:00,
2026-05-31 12:00:00,
2026-06-01 00:00:00,
2026-06-01 12:00:00,
2026-06-02 00:00:00,
2026-06-02 12:00:00,
2026-06-03 00:00:00,
2026-06-03 12:00:00,
2026-06-04 00:00:00,
2026-06-04 12:00:00,
2026-06-05 00:00:00,
2026-06-05 12:00:00,-0.39215450032951754
2026-06-06 00:00:00,
2026-06-06 12:00:00,
2026-06-07 00:00:00,
2026-06-07 12:00:00,
2026-06-08 00:00:00,
2026-06-08 12:00:00,
2026-06-09 00:00:00,
2026-06-09 12:00:00,
2026-06-10 00:00:00,
2026-06-10 12:00:00,
2026-06-11 00:00:00,
2026-06-11 12:00:00,-0.4759573798519898
2026-06-12 00:00:00,
2026-06-12 12:00:00,
2026-06-13 00:00:00,
2026-06-13 12:00:00,
2026-06-14 00:00:00,
2026-06-14 12:00:00,
2026-06-15 00:00:00,
2026-06-15 12:00:00,
2026-06-16 00:00:00,
2026-06-16 12:00:00,
2026-06-17 00:00:00,
2026-06-17 12:00:00,
2026-06-18 00:00:00,
2026-06-18 12:00:00,
2026-06-19 00:00:00,
2026-06-19 12:00:00,
2026-06-20 00:00:00,
2026-06-20 12:00:00,
