time,count
2026-05-25 00:00:00,42
2026-05-26 00:00:00,98
2026-05-27 00:00:00,48
2026-05-28 00:00:00,45
2026-05-29 00:00:00,603
2026-05-30 00:00:00,665
2026-05-31 00:00:00,313
2026-06-01 00:00:00,1073
2026-06-02 00:00:00,877
2026-06-03 00:00:00,658
2026-06-04 00:00:00,398
2026-06-05 00:00:00,280
2026-06-06 00:00:00,120
2026-06-07 00:00:00,147
2026-06-08 00:00:00,537
2026-06-09 00:00:00,432
2026-06-10 00:00:00,292
2026-06-11 00:00:00,385
2026-06-12 00:00:00,442
2026-06-13 00:00:00,60
2026-06-14 00:00:00,29
2026-06-15 00:00:00,52
2026-06-16 00:00:00,39
2026-06-17 00:00:00,8
2026-06-18 00:00:00,12
2026-06-19 00:00:00,7
2026-06-20 00:00:00,13
2026-06-21 00:00:00,8
