time,count
2022-06-12 12:00:00,33
2022-06-13 00:00:00,13
2022-06-13 12:00:00,20
2022-06-14 00:00:00,2
2022-06-14 12:00:00,1
2022-06-15 00:00:00,79
2022-06-15 12:00:00,226
2022-06-16 00:00:00,141
2022-06-16 12:00:00,225
2022-06-17 00:00:00,190
2022-06-17 12:00:00,320
2022-06-18 00:00:00,105
2022-06-18 12:00:00,195
2022-06-19 00:00:00,106
2022-06-19 12:00:00,188
2022-06-20 00:00:00,135
2022-06-20 12:00:00,237
2022-06-21 00:00:00,128
2022-06-21 12:00:00,169
2022-06-22 00:00:00,120
2022-06-22 12:00:00,181
2022-06-23 00:00:00,86
2022-06-23 12:00:00,116
2022-06-24 00:00:00,82
2022-06-24 12:00:00,53
2022-06-25 00:00:00,50
2022-06-25 12:00:00,69
2022-06-26 00:00:00,69
2022-06-26 12:00:00,213
2022-06-27 00:00:00,111
2022-06-27 12:00:00,211
2022-06-28 00:00:00,153
2022-06-28 12:00:00,151
2022-06-29 00:00:00,99
2022-06-29 12:00:00,144
2022-06-30 00:00:00,51
2022-06-30 12:00:00,253
2022-07-01 00:00:00,91
2022-07-01 12:00:00,207
2022-07-02 00:00:00,160
2022-07-02 12:00:00,183
2022-07-03 00:00:00,118
2022-07-03 12:00:00,160
2022-07-04 00:00:00,176
2022-07-04 12:00:00,156
2022-07-05 00:00:00,176
2022-07-05 12:00:00,228
2022-07-06 00:00:00,176
2022-07-06 12:00:00,248
2022-07-07 00:00:00,138
2022-07-07 12:00:00,171
2022-07-08 00:00:00,103
2022-07-08 12:00:00,330
2022-07-09 00:00:00,229
2022-07-09 12:00:00,198
2022-07-10 00:00:00,113
2022-07-10 12:00:00,391
2022-07-11 00:00:00,140
2022-07-11 12:00:00,520
2022-07-12 00:00:00,200
2022-07-12 12:00:00,508
2022-07-13 00:00:00,247
2022-07-13 12:00:00,411
2022-07-14 00:00:00,207
2022-07-14 12:00:00,352
2022-07-15 00:00:00,154
2022-07-15 12:00:00,510
2022-07-16 00:00:00,198
2022-07-16 12:00:00,529
2022-07-17 00:00:00,249
2022-07-17 12:00:00,478
2022-07-18 00:00:00,158
2022-07-18 12:00:00,627
2022-07-19 00:00:00,160
2022-07-19 12:00:00,509
2022-07-20 00:00:00,148
2022-07-20 12:00:00,352
2022-07-21 00:00:00,248
2022-07-21 12:00:00,502
2022-07-22 00:00:00,225
2022-07-22 12:00:00,258
2022-07-23 00:00:00,115
2022-07-23 12:00:00,178
2022-07-24 00:00:00,78
2022-07-24 12:00:00,264
2022-07-25 00:00:00,100
2022-07-25 12:00:00,482
2022-07-26 00:00:00,208
2022-07-26 12:00:00,209
2022-07-27 00:00:00,143
2022-07-27 12:00:00,168
2022-07-28 00:00:00,121
2022-07-28 12:00:00,261
2022-07-29 00:00:00,159
2022-07-29 12:00:00,294
2022-07-30 00:00:00,135
2022-07-30 12:00:00,184
2022-07-31 00:00:00,114
2022-07-31 12:00:00,178
