time,count
2025-06-15,122
2025-06-16,472
2025-06-17,536
2025-06-18,303
2025-06-19,197
2025-06-20,393
2025-06-21,399
2025-06-22,282
2025-06-23,445
2025-06-24,481
2025-06-25,550
2025-06-26,264
2025-06-27,209
2025-06-28,404
2025-06-29,258
2025-06-30,338
2025-07-01,245
2025-07-02,178
2025-07-03,92
2025-07-04,320
2025-07-05,228
2025-07-06,198
2025-07-07,136
2025-07-08,246
2025-07-09,21
2025-07-10,433
2025-07-11,453
2025-07-12,636
2025-07-13,572
2025-07-14,341
2025-07-15,129
2025-07-16,49
2025-07-17,1
2025-07-18,1
2025-07-19,
2025-07-20,
2025-07-21,1
2025-07-22,
2025-07-23,
2025-07-24,
2025-07-25,
2025-07-26,1
2025-07-27,
2025-07-28,1
2025-07-29,
2025-07-30,
2025-07-31,
2025-08-01,
2025-08-02,1
2025-08-03,1
2025-08-04,
2025-08-05,
2025-08-06,
2025-08-07,
2025-08-08,
2025-08-09,1
2025-08-10,
2025-08-11,
2025-08-12,
2025-08-13,1
2025-08-14,
2025-08-15,
2025-08-16,
2025-08-17,
2025-08-18,
2025-08-19,
2025-08-20,
2025-08-21,
2025-08-22,
2025-08-23,
2025-08-24,
2025-08-25,
2025-08-26,
2025-08-27,
2025-08-28,
2025-08-29,
2025-08-30,
2025-08-31,
2025-09-01,
2025-09-02,
2025-09-03,
2025-09-04,
2025-09-05,
2025-09-06,
2025-09-07,
2025-09-08,
2025-09-09,
2025-09-10,
2025-09-11,
2025-09-12,9
2025-09-13,
2025-09-14,
2025-09-15,
2025-09-16,
2025-09-17,
2025-09-18,
2025-09-19,
2025-09-20,
2025-09-21,
2025-09-22,
2025-09-23,
2025-09-24,
2025-09-25,
2025-09-26,
2025-09-27,
2025-09-28,
2025-09-29,
2025-09-30,
2025-10-01,
2025-10-02,
2025-10-03,1
2025-10-04,46
2025-10-05,1
2025-10-06,
2025-10-07,2
2025-10-08,2
2025-10-09,2
2025-10-10,4
2025-10-11,19
2025-10-12,4
2025-10-13,4
2025-10-14,3
2025-10-15,56
2025-10-16,8
2025-10-17,62
2025-10-18,8
2025-10-19,2
2025-10-20,12
2025-10-21,
2025-10-22,
2025-10-23,
2025-10-24,
2025-10-25,11
2025-10-26,1
2025-10-27,1
2025-10-28,
2025-10-29,
2025-10-30,11
2025-10-31,2
2025-11-01,3
2025-11-02,6
2025-11-03,1
2025-11-04,5
2025-11-05,4
2025-11-06,24
2025-11-07,63
