time,polarity
2024-12-09,-0.5643129793981005
2024-12-10,0.8446273765025533
2024-12-11,-0.1885955511579261
2024-12-12,0.03951860170217972
2024-12-13,0.2810512341422917
2024-12-14,0.6931284135024829
2024-12-15,1.0103850654320419
2024-12-16,1.6497361513029267
2024-12-17,0.2810512341422917
2024-12-18,-1.9732533352987542
2024-12-19,0.14015719855222636
2024-12-20,
2024-12-21,
2024-12-22,-0.36303578569800704
2024-12-23,-0.5643129793981005
2024-12-24,
2024-12-25,0.8446273765025533
2024-12-26,-1.176276972365051
2024-12-27,-0.5643129793981005
2024-12-28,-0.18005651869792225
2024-12-29,-1.9732533352987542
2024-12-30,0.8446273765025533
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,-1.9732533352987542
2025-01-04,
2025-01-05,-0.8725186822513685
2025-01-06,-0.6314053772981317
2025-01-07,-0.21207789042293707
2025-01-08,0.8446273765025533
2025-01-09,
2025-01-10,
2025-01-11,-1.3694217541984741
2025-01-12,0.8446273765025533
2025-01-13,-0.5084519080187795
2025-01-14,-0.5577291459593124
2025-01-15,-0.1128695578692089
2025-01-16,-0.09466619409788253
2025-01-17,-0.5366866979098524
2025-01-18,-0.7294231773552083
2025-01-19,-0.038945389062263504
2025-01-20,-0.16669790963472578
2025-01-21,-0.21642647176830948
2025-01-22,-0.6793285186552969
2025-01-23,-0.07118385483287172
2025-01-24,-0.3931333099896098
2025-01-25,-0.5304984108564847
2025-01-26,0.05640899557911053
2025-01-27,-0.525175747289749
2025-01-28,-1.07309699680667
2025-01-29,-1.5994528327128663
2025-01-30,-0.8461010505782312
2025-01-31,-0.7424548634774935
2025-02-01,-0.9212445362262662
2025-02-02,-0.4773413524906527
2025-02-03,-0.7730448839759752
2025-02-04,-0.6206705936341267
2025-02-05,-0.6120736694286311
2025-02-06,-0.7080824034695956
2025-02-07,-0.7655901730981938
2025-02-08,-1.33923017514346
2025-02-09,-0.38053815036758043
2025-02-10,-0.49168718785682963
2025-02-11,-0.7926135000301507
2025-02-12,-0.4017429383326404
2025-02-13,-0.27117773756642083
2025-02-14,-0.4972205814980693
2025-02-15,-0.5841572097628984
2025-02-16,-1.0339597646983183
2025-02-17,-0.9787072017218222
2025-02-18,-1.3470576215651304
2025-02-19,-1.5036065499985365
2025-02-20,0.2810512341422917
2025-02-21,-1.9732533352987542
2025-02-22,-0.7404305238856822
2025-02-23,-0.4435466631780444
2025-02-24,-1.2687831573484274
2025-02-25,0.8446273765025533
2025-02-26,-0.5643129793981005
2025-02-27,-1.3694217541984741
2025-02-28,-0.7810730341520471
2025-03-01,-1.2687831573484274
2025-03-02,-1.9732533352987542
2025-03-03,0.8446273765025533
2025-03-04,
2025-03-05,
2025-03-06,
2025-03-07,
2025-03-08,-1.9732533352987542
2025-03-09,
2025-03-10,
2025-03-11,
2025-03-12,
2025-03-13,0.8446273765025533
2025-03-14,
2025-03-15,
2025-03-16,
2025-03-17,
2025-03-18,
2025-03-19,-1.9732533352987542
2025-03-20,
2025-03-21,0.8446273765025533
2025-03-22,
2025-03-23,
2025-03-24,0.8446273765025533
2025-03-25,
2025-03-26,
2025-03-27,
2025-03-28,
2025-03-29,
2025-03-30,
2025-03-31,
2025-04-01,
2025-04-02,
2025-04-03,
2025-04-04,
2025-04-05,
2025-04-06,
2025-04-07,0.8446273765025533
2025-04-08,
2025-04-09,
2025-04-10,
2025-04-11,
2025-04-12,
2025-04-13,
2025-04-14,
2025-04-15,
2025-04-16,
2025-04-17,
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,
2025-04-22,
2025-04-23,
2025-04-24,
2025-04-25,
2025-04-26,0.8446273765025533
2025-04-27,
2025-04-28,
2025-04-29,
2025-04-30,
2025-05-01,
2025-05-02,
2025-05-03,
2025-05-04,
2025-05-05,
2025-05-06,
2025-05-07,
2025-05-08,
2025-05-09,
2025-05-10,
2025-05-11,
2025-05-12,
2025-05-13,
2025-05-14,
2025-05-15,
2025-05-16,
2025-05-17,
2025-05-18,
2025-05-19,-1.9732533352987542
2025-05-20,
2025-05-21,
2025-05-22,
2025-05-23,
2025-05-24,0.8446273765025533
2025-05-25,
2025-05-26,
2025-05-27,
2025-05-28,
2025-05-29,
2025-05-30,
2025-05-31,
2025-06-01,
2025-06-02,
2025-06-03,
2025-06-04,
2025-06-05,
2025-06-06,
2025-06-07,
2025-06-08,
2025-06-09,
2025-06-10,
2025-06-11,
2025-06-12,
2025-06-13,
2025-06-14,
2025-06-15,
2025-06-16,
2025-06-17,
2025-06-18,
2025-06-19,
2025-06-20,
2025-06-21,
2025-06-22,
2025-06-23,
2025-06-24,
2025-06-25,
2025-06-26,
2025-06-27,
2025-06-28,
2025-06-29,
2025-06-30,
2025-07-01,
2025-07-02,
2025-07-03,
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,
2025-07-08,
2025-07-09,
2025-07-10,
2025-07-11,
2025-07-12,
2025-07-13,
2025-07-14,
2025-07-15,
2025-07-16,
2025-07-17,
2025-07-18,
2025-07-19,
2025-07-20,
2025-07-21,
2025-07-22,
2025-07-23,
2025-07-24,
2025-07-25,
2025-07-26,
2025-07-27,
2025-07-28,
2025-07-29,
2025-07-30,
2025-07-31,
2025-08-01,
2025-08-02,
2025-08-03,0.8446273765025533
