time,count
2026-04-01 00:00:00,38
2026-04-01 12:00:00,496
2026-04-02 00:00:00,181
2026-04-02 12:00:00,230
2026-04-03 00:00:00,83
2026-04-03 12:00:00,453
2026-04-04 00:00:00,111
2026-04-04 12:00:00,230
2026-04-05 00:00:00,120
2026-04-05 12:00:00,177
2026-04-06 00:00:00,138
2026-04-06 12:00:00,578
2026-04-07 00:00:00,193
2026-04-07 12:00:00,357
2026-04-08 00:00:00,69
2026-04-08 12:00:00,1340
2026-04-09 00:00:00,583
2026-04-09 12:00:00,639
2026-04-10 00:00:00,68
2026-04-10 12:00:00,680
2026-04-11 00:00:00,167
2026-04-11 12:00:00,275
2026-04-12 00:00:00,135
2026-04-12 12:00:00,235
2026-04-13 00:00:00,8
2026-04-13 12:00:00,204
2026-04-14 00:00:00,126
2026-04-14 12:00:00,593
2026-04-15 00:00:00,206
2026-04-15 12:00:00,329
2026-04-16 00:00:00,151
2026-04-16 12:00:00,301
2026-04-17 00:00:00,13
2026-04-17 12:00:00,246
2026-04-18 00:00:00,9
2026-04-18 12:00:00,100
2026-04-19 00:00:00,13
2026-04-19 12:00:00,99
2026-04-20 00:00:00,10
2026-04-20 12:00:00,393
2026-04-21 00:00:00,118
2026-04-21 12:00:00,186
2026-04-22 00:00:00,34
2026-04-22 12:00:00,105
2026-04-23 00:00:00,16
2026-04-23 12:00:00,107
2026-04-24 00:00:00,16
2026-04-24 12:00:00,128
2026-04-25 00:00:00,15
2026-04-25 12:00:00,109
2026-04-26 00:00:00,6
2026-04-26 12:00:00,91
2026-04-27 00:00:00,11
2026-04-27 12:00:00,120
2026-04-28 00:00:00,21
2026-04-28 12:00:00,102
