time,count
2025-03-01 00:00:00,
2025-03-01 12:00:00,-1.2166977041397713
2025-03-02 00:00:00,
2025-03-02 12:00:00,-1.2166977041397713
2025-03-03 00:00:00,
2025-03-03 12:00:00,0.7529751829393302
2025-03-04 00:00:00,
2025-03-04 12:00:00,
2025-03-05 00:00:00,
2025-03-05 12:00:00,
2025-03-06 00:00:00,
2025-03-06 12:00:00,
2025-03-07 00:00:00,
2025-03-07 12:00:00,
2025-03-08 00:00:00,
2025-03-08 12:00:00,
2025-03-09 00:00:00,
2025-03-09 12:00:00,
2025-03-10 00:00:00,
2025-03-10 12:00:00,
2025-03-11 00:00:00,
2025-03-11 12:00:00,
2025-03-12 00:00:00,
2025-03-12 12:00:00,
2025-03-13 00:00:00,
2025-03-13 12:00:00,-1.2166977041397713
2025-03-14 00:00:00,-0.500453017929189
2025-03-14 12:00:00,2.9017092415710772
2025-03-15 00:00:00,-0.500453017929189
2025-03-15 12:00:00,-0.500453017929189
2025-03-16 00:00:00,-0.8585753610344802
2025-03-16 12:00:00,
2025-03-17 00:00:00,
2025-03-17 12:00:00,
2025-03-18 00:00:00,
2025-03-18 12:00:00,-1.2166977041397713
2025-03-19 00:00:00,
2025-03-19 12:00:00,
2025-03-20 00:00:00,
2025-03-20 12:00:00,
2025-03-21 00:00:00,
2025-03-21 12:00:00,
2025-03-22 00:00:00,
2025-03-22 12:00:00,
2025-03-23 00:00:00,
2025-03-23 12:00:00,
2025-03-24 00:00:00,
2025-03-24 12:00:00,
2025-03-25 00:00:00,
2025-03-25 12:00:00,359.94968531754637
2025-03-26 00:00:00,200.5852426356918
2025-03-26 12:00:00,309.2753737681477
2025-03-27 00:00:00,85.807031670446
2025-03-27 12:00:00,250.18518715577463
2025-03-28 00:00:00,142.21130070952935
2025-03-28 12:00:00,189.66251117098042
