time,polarity
2025-03-01 00:00:00,
2025-03-01 12:00:00,0.0
2025-03-02 00:00:00,
2025-03-02 12:00:00,0.0
2025-03-03 00:00:00,
2025-03-03 12:00:00,0.25
2025-03-04 00:00:00,
2025-03-04 12:00:00,
2025-03-05 00:00:00,
2025-03-05 12:00:00,
2025-03-06 00:00:00,
2025-03-06 12:00:00,
2025-03-07 00:00:00,
2025-03-07 12:00:00,
2025-03-08 00:00:00,
2025-03-08 12:00:00,
2025-03-09 00:00:00,
2025-03-09 12:00:00,
2025-03-10 00:00:00,
2025-03-10 12:00:00,
2025-03-11 00:00:00,
2025-03-11 12:00:00,
2025-03-12 00:00:00,
2025-03-12 12:00:00,
2025-03-13 00:00:00,
2025-03-13 12:00:00,0.0
2025-03-14 00:00:00,0.4
2025-03-14 12:00:00,0.375
2025-03-15 00:00:00,0.0
2025-03-15 12:00:00,0.4
2025-03-16 00:00:00,-0.3333333333333333
2025-03-16 12:00:00,
2025-03-17 00:00:00,
2025-03-17 12:00:00,
2025-03-18 00:00:00,
2025-03-18 12:00:00,1.0
2025-03-19 00:00:00,
2025-03-19 12:00:00,
2025-03-20 00:00:00,
2025-03-20 12:00:00,
2025-03-21 00:00:00,
2025-03-21 12:00:00,
2025-03-22 00:00:00,
2025-03-22 12:00:00,
2025-03-23 00:00:00,
2025-03-23 12:00:00,
2025-03-24 00:00:00,
2025-03-24 12:00:00,
2025-03-25 00:00:00,
2025-03-25 12:00:00,0.4192269573835481
2025-03-26 00:00:00,0.3599290780141844
2025-03-26 12:00:00,0.31930835734870316
2025-03-27 00:00:00,0.2032854209445585
2025-03-27 12:00:00,0.32669039145907475
2025-03-28 00:00:00,0.286783042394015
2025-03-28 12:00:00,0.33270852858481725
