time,count
2025-07-01 00:00:00,60
2025-07-01 12:00:00,89
2025-07-02 00:00:00,51
2025-07-02 12:00:00,87
2025-07-03 00:00:00,16
2025-07-03 12:00:00,86
2025-07-04 00:00:00,125
2025-07-04 12:00:00,112
2025-07-05 00:00:00,61
2025-07-05 12:00:00,103
2025-07-06 00:00:00,52
2025-07-06 12:00:00,58
2025-07-07 00:00:00,33
2025-07-07 12:00:00,83
2025-07-08 00:00:00,37
2025-07-08 12:00:00,79
2025-07-09 00:00:00,55
2025-07-09 12:00:00,91
2025-07-10 00:00:00,50
2025-07-10 12:00:00,88
2025-07-11 00:00:00,58
2025-07-11 12:00:00,123
2025-07-12 00:00:00,62
2025-07-12 12:00:00,102
2025-07-13 00:00:00,71
2025-07-13 12:00:00,146
2025-07-14 00:00:00,36
2025-07-14 12:00:00,309
2025-07-15 00:00:00,8
2025-07-15 12:00:00,2148
2025-07-16 00:00:00,289
2025-07-16 12:00:00,1320
2025-07-17 00:00:00,68
2025-07-17 12:00:00,2206
2025-07-18 00:00:00,352
2025-07-18 12:00:00,2111
2025-07-19 00:00:00,832
2025-07-19 12:00:00,1613
2025-07-20 00:00:00,292
2025-07-20 12:00:00,435
2025-07-21 00:00:00,38
2025-07-21 12:00:00,566
2025-07-22 00:00:00,14
2025-07-22 12:00:00,280
2025-07-23 00:00:00,154
2025-07-23 12:00:00,311
2025-07-24 00:00:00,42
2025-07-24 12:00:00,296
2025-07-25 00:00:00,173
2025-07-25 12:00:00,287
2025-07-26 00:00:00,81
2025-07-26 12:00:00,148
2025-07-27 00:00:00,81
2025-07-27 12:00:00,167
2025-07-28 00:00:00,105
2025-07-28 12:00:00,188
