time,count
2022-09-18 00:00:00,6
2022-09-18 06:00:00,2
2022-09-18 12:00:00,64
2022-09-18 18:00:00,194
2022-09-19 00:00:00,78
2022-09-19 06:00:00,32
2022-09-19 12:00:00,131
2022-09-19 18:00:00,86
2022-09-20 00:00:00,47
2022-09-20 06:00:00,19
2022-09-20 12:00:00,96
2022-09-20 18:00:00,99
2022-09-21 00:00:00,65
2022-09-21 06:00:00,26
2022-09-21 12:00:00,80
2022-09-21 18:00:00,58
2022-09-22 00:00:00,34
2022-09-22 06:00:00,27
2022-09-22 12:00:00,86
2022-09-22 18:00:00,179
2022-09-23 00:00:00,32
2022-09-23 06:00:00,28
2022-09-23 12:00:00,98
2022-09-23 18:00:00,126
2022-09-24 00:00:00,77
2022-09-24 06:00:00,58
2022-09-24 12:00:00,115
2022-09-24 18:00:00,297
2022-09-25 00:00:00,226
2022-09-25 06:00:00,73
2022-09-25 12:00:00,269
2022-09-25 18:00:00,203
2022-09-26 00:00:00,80
2022-09-26 06:00:00,35
2022-09-26 12:00:00,85
2022-09-26 18:00:00,72
2022-09-27 00:00:00,47
2022-09-27 06:00:00,29
2022-09-27 12:00:00,46
2022-09-27 18:00:00,71
2022-09-28 00:00:00,8
2022-09-28 06:00:00,4
2022-09-28 12:00:00,8
2022-09-28 18:00:00,22
2022-09-29 00:00:00,26
2022-09-29 06:00:00,7
2022-09-29 12:00:00,36
2022-09-29 18:00:00,18
