time,polarity
2024-03-11,0.0
2024-03-12,
2024-03-13,
2024-03-14,
2024-03-15,
2024-03-16,
2024-03-17,
2024-03-18,
2024-03-19,
2024-03-20,
2024-03-21,
2024-03-22,
2024-03-23,
2024-03-24,
2024-03-25,
2024-03-26,
2024-03-27,
2024-03-28,
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,
2024-04-02,
2024-04-03,
2024-04-04,0.0
2024-04-05,-0.15151515151515152
2024-04-06,-0.08333333333333333
2024-04-07,0.044444444444444446
2024-04-08,0.030303030303030304
2024-04-09,0.07142857142857142
2024-04-10,0.5135135135135135
2024-04-11,-0.08333333333333333
2024-04-12,-0.25
2024-04-13,-0.4
2024-04-14,-0.19101123595505617
2024-04-15,-0.2840909090909091
2024-04-16,-0.4074074074074074
2024-04-17,
2024-04-18,-0.23076923076923078
2024-04-19,-0.22377622377622378
2024-04-20,-0.13114754098360656
2024-04-21,-0.14754098360655737
2024-04-22,-0.4107142857142857
2024-04-23,-0.28804347826086957
2024-04-24,-0.12941176470588237
2024-04-25,-0.018867924528301886
2024-04-26,0.05454545454545454
2024-04-27,0.125
2024-04-28,0.3333333333333333
2024-04-29,0.25
2024-04-30,-0.42105263157894735
2024-05-01,-1.0
2024-05-02,
2024-05-03,
2024-05-04,
2024-05-05,
2024-05-06,
2024-05-07,
2024-05-08,-1.0
2024-05-09,
2024-05-10,
2024-05-11,
2024-05-12,
2024-05-13,
2024-05-14,
2024-05-15,
2024-05-16,
2024-05-17,
2024-05-18,
2024-05-19,
2024-05-20,
2024-05-21,
2024-05-22,
2024-05-23,
2024-05-24,
2024-05-25,
2024-05-26,
2024-05-27,1.0
2024-05-28,
2024-05-29,0.0
2024-05-30,
2024-05-31,
2024-06-01,
2024-06-02,-1.0
2024-06-03,
2024-06-04,
2024-06-05,
2024-06-06,
2024-06-07,
2024-06-08,
2024-06-09,
2024-06-10,
2024-06-11,
2024-06-12,
2024-06-13,
2024-06-14,
2024-06-15,
2024-06-16,
2024-06-17,
2024-06-18,-0.23076923076923078
2024-06-19,-0.5510204081632653
2024-06-20,-0.5
2024-06-21,
2024-06-22,
2024-06-23,
2024-06-24,
2024-06-25,1.0
