time,polarity
2024-03-11 06:00:00,0.0
2024-03-11 12:00:00,
2024-03-11 18:00:00,
2024-03-12 00:00:00,
2024-03-12 06:00:00,
2024-03-12 12:00:00,
2024-03-12 18:00:00,
2024-03-13 00:00:00,
2024-03-13 06:00:00,
2024-03-13 12:00:00,
2024-03-13 18:00:00,
2024-03-14 00:00:00,
2024-03-14 06:00:00,
2024-03-14 12:00:00,
2024-03-14 18:00:00,
2024-03-15 00:00:00,
2024-03-15 06:00:00,
2024-03-15 12:00:00,
2024-03-15 18:00:00,
2024-03-16 00:00:00,
2024-03-16 06:00:00,
2024-03-16 12:00:00,
2024-03-16 18:00:00,
2024-03-17 00:00:00,
2024-03-17 06:00:00,
2024-03-17 12:00:00,
2024-03-17 18:00:00,
2024-03-18 00:00:00,
2024-03-18 06:00:00,
2024-03-18 12:00:00,
2024-03-18 18:00:00,
2024-03-19 00:00:00,
2024-03-19 06:00:00,
2024-03-19 12:00:00,
2024-03-19 18:00:00,
2024-03-20 00:00:00,
2024-03-20 06:00:00,
2024-03-20 12:00:00,
2024-03-20 18:00:00,
2024-03-21 00:00:00,
2024-03-21 06:00:00,
2024-03-21 12:00:00,
2024-03-21 18:00:00,
2024-03-22 00:00:00,
2024-03-22 06:00:00,
2024-03-22 12:00:00,
2024-03-22 18:00:00,
2024-03-23 00:00:00,
2024-03-23 06:00:00,
2024-03-23 12:00:00,
2024-03-23 18:00:00,
2024-03-24 00:00:00,
2024-03-24 06:00:00,
2024-03-24 12:00:00,
2024-03-24 18:00:00,
2024-03-25 00:00:00,
2024-03-25 06:00:00,
2024-03-25 12:00:00,
2024-03-25 18:00:00,
2024-03-26 00:00:00,
2024-03-26 06:00:00,
2024-03-26 12:00:00,
2024-03-26 18:00:00,
2024-03-27 00:00:00,
2024-03-27 06:00:00,
2024-03-27 12:00:00,
2024-03-27 18:00:00,
2024-03-28 00:00:00,
2024-03-28 06:00:00,
2024-03-28 12:00:00,
2024-03-28 18:00:00,
2024-03-29 00:00:00,
2024-03-29 06:00:00,
2024-03-29 12:00:00,
2024-03-29 18:00:00,
2024-03-30 00:00:00,
2024-03-30 06:00:00,
2024-03-30 12:00:00,
2024-03-30 18:00:00,
2024-03-31 00:00:00,
2024-03-31 06:00:00,
2024-03-31 12:00:00,
2024-03-31 18:00:00,
2024-04-01 00:00:00,
2024-04-01 06:00:00,
2024-04-01 12:00:00,
2024-04-01 18:00:00,
2024-04-02 00:00:00,
2024-04-02 06:00:00,
2024-04-02 12:00:00,
2024-04-02 18:00:00,
2024-04-03 00:00:00,
2024-04-03 06:00:00,
2024-04-03 12:00:00,
2024-04-03 18:00:00,
2024-04-04 00:00:00,
2024-04-04 06:00:00,
2024-04-04 12:00:00,-0.6
2024-04-04 18:00:00,0.2727272727272727
2024-04-05 00:00:00,0.17647058823529413
2024-04-05 06:00:00,-0.8571428571428571
2024-04-05 12:00:00,-0.2857142857142857
2024-04-05 18:00:00,0.0
2024-04-06 00:00:00,-0.5
2024-04-06 06:00:00,
2024-04-06 12:00:00,0.0
2024-04-06 18:00:00,-0.058823529411764705
2024-04-07 00:00:00,0.0
2024-04-07 06:00:00,0.07142857142857142
2024-04-07 12:00:00,0.5
2024-04-07 18:00:00,-0.125
2024-04-08 00:00:00,-0.10344827586206896
2024-04-08 06:00:00,-0.03571428571428571
2024-04-08 12:00:00,0.625
2024-04-08 18:00:00,1.0
2024-04-09 00:00:00,-1.0
2024-04-09 06:00:00,
2024-04-09 12:00:00,1.0
2024-04-09 18:00:00,-0.2222222222222222
2024-04-10 00:00:00,0.7894736842105263
2024-04-10 06:00:00,0.0
2024-04-10 12:00:00,0.0
2024-04-10 18:00:00,0.26666666666666666
2024-04-11 00:00:00,-0.0625
2024-04-11 06:00:00,0.0
2024-04-11 12:00:00,-0.2631578947368421
2024-04-11 18:00:00,1.0
2024-04-12 00:00:00,-0.3333333333333333
2024-04-12 06:00:00,0.0
2024-04-12 12:00:00,
2024-04-12 18:00:00,
2024-04-13 00:00:00,
2024-04-13 06:00:00,
2024-04-13 12:00:00,
2024-04-13 18:00:00,-0.4
2024-04-14 00:00:00,-0.4
2024-04-14 06:00:00,-0.08
2024-04-14 12:00:00,-0.24242424242424243
2024-04-14 18:00:00,-0.0625
2024-04-15 00:00:00,-0.08695652173913043
2024-04-15 06:00:00,-0.35
2024-04-15 12:00:00,-0.37037037037037035
2024-04-15 18:00:00,-0.3333333333333333
2024-04-16 00:00:00,-0.3333333333333333
2024-04-16 06:00:00,-0.5
2024-04-16 12:00:00,0.0
2024-04-16 18:00:00,-1.0
2024-04-17 00:00:00,
2024-04-17 06:00:00,
2024-04-17 12:00:00,
2024-04-17 18:00:00,
2024-04-18 00:00:00,
2024-04-18 06:00:00,
2024-04-18 12:00:00,-0.5
2024-04-18 18:00:00,0.2
2024-04-19 00:00:00,-0.28125
2024-04-19 06:00:00,-0.16363636363636364
2024-04-19 12:00:00,-0.2916666666666667
2024-04-19 18:00:00,0.0
2024-04-20 00:00:00,-0.14285714285714285
2024-04-20 06:00:00,-0.21621621621621623
2024-04-20 12:00:00,0.0
2024-04-20 18:00:00,-0.15384615384615385
2024-04-21 00:00:00,-0.13333333333333333
2024-04-21 06:00:00,-0.2631578947368421
2024-04-21 12:00:00,-0.1
2024-04-21 18:00:00,0.5
2024-04-22 00:00:00,-1.0
2024-04-22 06:00:00,0.0
2024-04-22 12:00:00,-0.5
2024-04-22 18:00:00,-0.38235294117647056
2024-04-23 00:00:00,-0.3548387096774194
2024-04-23 06:00:00,-0.25
2024-04-23 12:00:00,-0.21052631578947367
2024-04-23 18:00:00,0.0
2024-04-24 00:00:00,-0.25
2024-04-24 06:00:00,-0.15151515151515152
2024-04-24 12:00:00,-0.05555555555555555
2024-04-24 18:00:00,-0.09090909090909091
2024-04-25 00:00:00,-0.38461538461538464
2024-04-25 06:00:00,0.02127659574468085
2024-04-25 12:00:00,0.1
2024-04-25 18:00:00,-0.3333333333333333
2024-04-26 00:00:00,0.14285714285714285
2024-04-26 06:00:00,-0.06666666666666667
2024-04-26 12:00:00,0.2857142857142857
2024-04-26 18:00:00,0.0
2024-04-27 00:00:00,0.2857142857142857
2024-04-27 06:00:00,0.0
2024-04-27 12:00:00,0.0
2024-04-27 18:00:00,
2024-04-28 00:00:00,0.0
2024-04-28 06:00:00,1.0
2024-04-28 12:00:00,
2024-04-28 18:00:00,
2024-04-29 00:00:00,
2024-04-29 06:00:00,
2024-04-29 12:00:00,0.5
2024-04-29 18:00:00,0.0
2024-04-30 00:00:00,-0.4444444444444444
2024-04-30 06:00:00,-0.7142857142857143
2024-04-30 12:00:00,0.3333333333333333
2024-04-30 18:00:00,
2024-05-01 00:00:00,
2024-05-01 06:00:00,-1.0
2024-05-01 12:00:00,
2024-05-01 18:00:00,
2024-05-02 00:00:00,
2024-05-02 06:00:00,
2024-05-02 12:00:00,
2024-05-02 18:00:00,
2024-05-03 00:00:00,
2024-05-03 06:00:00,
2024-05-03 12:00:00,
2024-05-03 18:00:00,
2024-05-04 00:00:00,
2024-05-04 06:00:00,
2024-05-04 12:00:00,
2024-05-04 18:00:00,
2024-05-05 00:00:00,
2024-05-05 06:00:00,
2024-05-05 12:00:00,
2024-05-05 18:00:00,
2024-05-06 00:00:00,
2024-05-06 06:00:00,
2024-05-06 12:00:00,
2024-05-06 18:00:00,
2024-05-07 00:00:00,
2024-05-07 06:00:00,
2024-05-07 12:00:00,
2024-05-07 18:00:00,
2024-05-08 00:00:00,-1.0
2024-05-08 06:00:00,
2024-05-08 12:00:00,
2024-05-08 18:00:00,
2024-05-09 00:00:00,
2024-05-09 06:00:00,
2024-05-09 12:00:00,
2024-05-09 18:00:00,
2024-05-10 00:00:00,
2024-05-10 06:00:00,
2024-05-10 12:00:00,
2024-05-10 18:00:00,
2024-05-11 00:00:00,
2024-05-11 06:00:00,
2024-05-11 12:00:00,
2024-05-11 18:00:00,
2024-05-12 00:00:00,
2024-05-12 06:00:00,
2024-05-12 12:00:00,
2024-05-12 18:00:00,
2024-05-13 00:00:00,
2024-05-13 06:00:00,
2024-05-13 12:00:00,
2024-05-13 18:00:00,
2024-05-14 00:00:00,
2024-05-14 06:00:00,
2024-05-14 12:00:00,
2024-05-14 18:00:00,
2024-05-15 00:00:00,
2024-05-15 06:00:00,
2024-05-15 12:00:00,
2024-05-15 18:00:00,
2024-05-16 00:00:00,
2024-05-16 06:00:00,
2024-05-16 12:00:00,
2024-05-16 18:00:00,
2024-05-17 00:00:00,
2024-05-17 06:00:00,
2024-05-17 12:00:00,
2024-05-17 18:00:00,
2024-05-18 00:00:00,
2024-05-18 06:00:00,
2024-05-18 12:00:00,
2024-05-18 18:00:00,
2024-05-19 00:00:00,
2024-05-19 06:00:00,
2024-05-19 12:00:00,
2024-05-19 18:00:00,
2024-05-20 00:00:00,
2024-05-20 06:00:00,
2024-05-20 12:00:00,
2024-05-20 18:00:00,
2024-05-21 00:00:00,
2024-05-21 06:00:00,
2024-05-21 12:00:00,
2024-05-21 18:00:00,
2024-05-22 00:00:00,
2024-05-22 06:00:00,
2024-05-22 12:00:00,
2024-05-22 18:00:00,
2024-05-23 00:00:00,
2024-05-23 06:00:00,
2024-05-23 12:00:00,
2024-05-23 18:00:00,
2024-05-24 00:00:00,
2024-05-24 06:00:00,
2024-05-24 12:00:00,
2024-05-24 18:00:00,
2024-05-25 00:00:00,
2024-05-25 06:00:00,
2024-05-25 12:00:00,
2024-05-25 18:00:00,
2024-05-26 00:00:00,
2024-05-26 06:00:00,
2024-05-26 12:00:00,
2024-05-26 18:00:00,
2024-05-27 00:00:00,
2024-05-27 06:00:00,
2024-05-27 12:00:00,
2024-05-27 18:00:00,1.0
2024-05-28 00:00:00,
2024-05-28 06:00:00,
2024-05-28 12:00:00,
2024-05-28 18:00:00,
2024-05-29 00:00:00,
2024-05-29 06:00:00,
2024-05-29 12:00:00,0.0
2024-05-29 18:00:00,
2024-05-30 00:00:00,
2024-05-30 06:00:00,
2024-05-30 12:00:00,
2024-05-30 18:00:00,
2024-05-31 00:00:00,
2024-05-31 06:00:00,
2024-05-31 12:00:00,
2024-05-31 18:00:00,
2024-06-01 00:00:00,
2024-06-01 06:00:00,
2024-06-01 12:00:00,
2024-06-01 18:00:00,
2024-06-02 00:00:00,
2024-06-02 06:00:00,
2024-06-02 12:00:00,
2024-06-02 18:00:00,-1.0
2024-06-03 00:00:00,
2024-06-03 06:00:00,
2024-06-03 12:00:00,
2024-06-03 18:00:00,
2024-06-04 00:00:00,
2024-06-04 06:00:00,
2024-06-04 12:00:00,
2024-06-04 18:00:00,
2024-06-05 00:00:00,
2024-06-05 06:00:00,
2024-06-05 12:00:00,
2024-06-05 18:00:00,
2024-06-06 00:00:00,
2024-06-06 06:00:00,
2024-06-06 12:00:00,
2024-06-06 18:00:00,
2024-06-07 00:00:00,
2024-06-07 06:00:00,
2024-06-07 12:00:00,
2024-06-07 18:00:00,
2024-06-08 00:00:00,
2024-06-08 06:00:00,
2024-06-08 12:00:00,
2024-06-08 18:00:00,
2024-06-09 00:00:00,
2024-06-09 06:00:00,
2024-06-09 12:00:00,
2024-06-09 18:00:00,
2024-06-10 00:00:00,
2024-06-10 06:00:00,
2024-06-10 12:00:00,
2024-06-10 18:00:00,
2024-06-11 00:00:00,
2024-06-11 06:00:00,
2024-06-11 12:00:00,
2024-06-11 18:00:00,
2024-06-12 00:00:00,
2024-06-12 06:00:00,
2024-06-12 12:00:00,
2024-06-12 18:00:00,
2024-06-13 00:00:00,
2024-06-13 06:00:00,
2024-06-13 12:00:00,
2024-06-13 18:00:00,
2024-06-14 00:00:00,
2024-06-14 06:00:00,
2024-06-14 12:00:00,
2024-06-14 18:00:00,
2024-06-15 00:00:00,
2024-06-15 06:00:00,
2024-06-15 12:00:00,
2024-06-15 18:00:00,
2024-06-16 00:00:00,
2024-06-16 06:00:00,
2024-06-16 12:00:00,
2024-06-16 18:00:00,
2024-06-17 00:00:00,
2024-06-17 06:00:00,
2024-06-17 12:00:00,
2024-06-17 18:00:00,
2024-06-18 00:00:00,
2024-06-18 06:00:00,
2024-06-18 12:00:00,0.0
2024-06-18 18:00:00,-0.4
2024-06-19 00:00:00,-0.625
2024-06-19 06:00:00,-0.4117647058823529
2024-06-19 12:00:00,-0.5714285714285714
2024-06-19 18:00:00,-1.0
2024-06-20 00:00:00,
2024-06-20 06:00:00,-0.6666666666666666
2024-06-20 12:00:00,
2024-06-20 18:00:00,0.0
2024-06-21 00:00:00,
2024-06-21 06:00:00,
2024-06-21 12:00:00,
2024-06-21 18:00:00,
2024-06-22 00:00:00,
2024-06-22 06:00:00,
2024-06-22 12:00:00,
2024-06-22 18:00:00,
2024-06-23 00:00:00,
2024-06-23 06:00:00,
2024-06-23 12:00:00,
2024-06-23 18:00:00,
2024-06-24 00:00:00,
2024-06-24 06:00:00,
2024-06-24 12:00:00,
2024-06-24 18:00:00,
2024-06-25 00:00:00,1.0
