time,count
2025-04-22 12:00:00,364
2025-04-22 18:00:00,631
2025-04-23 00:00:00,223
2025-04-23 06:00:00,250
2025-04-23 12:00:00,743
2025-04-23 18:00:00,377
2025-04-24 00:00:00,135
2025-04-24 06:00:00,182
2025-04-24 12:00:00,310
2025-04-24 18:00:00,91
2025-04-25 00:00:00,62
2025-04-25 06:00:00,49
2025-04-25 12:00:00,34
2025-04-25 18:00:00,74
2025-04-26 00:00:00,20
2025-04-26 06:00:00,62
2025-04-26 12:00:00,77
2025-04-26 18:00:00,92
2025-04-27 00:00:00,74
2025-04-27 06:00:00,193
2025-04-27 12:00:00,400
2025-04-27 18:00:00,232
2025-04-28 00:00:00,156
2025-04-28 06:00:00,226
2025-04-28 12:00:00,386
2025-04-28 18:00:00,140
2025-04-29 00:00:00,99
2025-04-29 06:00:00,68
2025-04-29 12:00:00,39
2025-04-29 18:00:00,115
2025-04-30 00:00:00,60
2025-04-30 06:00:00,51
2025-04-30 12:00:00,73
2025-04-30 18:00:00,45
2025-05-01 00:00:00,30
2025-05-01 06:00:00,30
2025-05-01 12:00:00,48
2025-05-01 18:00:00,30
2025-05-02 00:00:00,96
2025-05-02 06:00:00,179
2025-05-02 12:00:00,242
2025-05-02 18:00:00,138
2025-05-03 00:00:00,67
2025-05-03 06:00:00,57
2025-05-03 12:00:00,24
2025-05-03 18:00:00,4
2025-05-04 00:00:00,46
2025-05-04 06:00:00,123
2025-05-04 12:00:00,341
2025-05-04 18:00:00,116
2025-05-05 00:00:00,85
2025-05-05 06:00:00,199
2025-05-05 12:00:00,276
2025-05-05 18:00:00,180
2025-05-06 00:00:00,93
2025-05-06 06:00:00,88
2025-05-06 12:00:00,58
2025-05-06 18:00:00,40
2025-05-07 00:00:00,275
2025-05-07 06:00:00,306
2025-05-07 12:00:00,432
2025-05-07 18:00:00,314
2025-05-08 00:00:00,109
2025-05-08 06:00:00,167
2025-05-08 12:00:00,232
2025-05-08 18:00:00,184
2025-05-09 00:00:00,126
2025-05-09 06:00:00,147
2025-05-09 12:00:00,158
2025-05-09 18:00:00,662
2025-05-10 00:00:00,488
2025-05-10 06:00:00,354
2025-05-10 12:00:00,769
2025-05-10 18:00:00,618
2025-05-11 00:00:00,390
2025-05-11 06:00:00,479
2025-05-11 12:00:00,460
2025-05-11 18:00:00,255
2025-05-12 00:00:00,181
2025-05-12 06:00:00,302
2025-05-12 12:00:00,508
2025-05-12 18:00:00,336
2025-05-13 00:00:00,182
2025-05-13 06:00:00,183
2025-05-13 12:00:00,187
2025-05-13 18:00:00,89
2025-05-14 00:00:00,59
2025-05-14 06:00:00,73
2025-05-14 12:00:00,127
2025-05-14 18:00:00,73
