time,count
2025-06-13 00:00:00,539
2025-06-13 12:00:00,81
2025-06-14 00:00:00,90
2025-06-14 12:00:00,271
2025-06-15 00:00:00,153
2025-06-15 12:00:00,342
2025-06-16 00:00:00,49
2025-06-16 12:00:00,59
2025-06-17 00:00:00,151
2025-06-17 12:00:00,223
2025-06-18 00:00:00,207
2025-06-18 12:00:00,334
2025-06-19 00:00:00,232
2025-06-19 12:00:00,353
2025-06-20 00:00:00,141
2025-06-20 12:00:00,329
2025-06-21 00:00:00,138
2025-06-21 12:00:00,155
2025-06-22 00:00:00,168
2025-06-22 12:00:00,84
2025-06-23 00:00:00,159
2025-06-23 12:00:00,34
2025-06-24 00:00:00,49
2025-06-24 12:00:00,87
2025-06-25 00:00:00,22
2025-06-25 12:00:00,76
2025-06-26 00:00:00,23
2025-06-26 12:00:00,14
2025-06-27 00:00:00,4
2025-06-27 12:00:00,35
2025-06-28 00:00:00,25
2025-06-28 12:00:00,108
2025-06-29 00:00:00,26
2025-06-29 12:00:00,93
2025-06-30 00:00:00,16
2025-06-30 12:00:00,21
