time,count
2023-03-01 12:00:00,16
2023-03-02 00:00:00,3
2023-03-02 12:00:00,
2023-03-03 00:00:00,
2023-03-03 12:00:00,3
2023-03-04 00:00:00,3
2023-03-04 12:00:00,
2023-03-05 00:00:00,
2023-03-05 12:00:00,
2023-03-06 00:00:00,
2023-03-06 12:00:00,
2023-03-07 00:00:00,
2023-03-07 12:00:00,
2023-03-08 00:00:00,
2023-03-08 12:00:00,4
2023-03-09 00:00:00,12
2023-03-09 12:00:00,4
2023-03-10 00:00:00,
2023-03-10 12:00:00,
2023-03-11 00:00:00,
2023-03-11 12:00:00,35
2023-03-12 00:00:00,19
2023-03-12 12:00:00,7
2023-03-13 00:00:00,14
2023-03-13 12:00:00,5
2023-03-14 00:00:00,1
2023-03-14 12:00:00,
2023-03-15 00:00:00,
2023-03-15 12:00:00,2
2023-03-16 00:00:00,
2023-03-16 12:00:00,4
2023-03-17 00:00:00,11
2023-03-17 12:00:00,6
2023-03-18 00:00:00,16
2023-03-18 12:00:00,10
2023-03-19 00:00:00,
2023-03-19 12:00:00,7
2023-03-20 00:00:00,9
2023-03-20 12:00:00,2
2023-03-21 00:00:00,
2023-03-21 12:00:00,
2023-03-22 00:00:00,
2023-03-22 12:00:00,12
2023-03-23 00:00:00,5
2023-03-23 12:00:00,1
2023-03-24 00:00:00,9
2023-03-24 12:00:00,13
2023-03-25 00:00:00,
2023-03-25 12:00:00,12
2023-03-26 00:00:00,18
2023-03-26 12:00:00,27
2023-03-27 00:00:00,22
2023-03-27 12:00:00,58
2023-03-28 00:00:00,9
2023-03-28 12:00:00,5
2023-03-29 00:00:00,12
2023-03-29 12:00:00,7
2023-03-30 00:00:00,
2023-03-30 12:00:00,7
2023-03-31 00:00:00,4
2023-03-31 12:00:00,
2023-04-01 00:00:00,
2023-04-01 12:00:00,7
2023-04-02 00:00:00,11
2023-04-02 12:00:00,3
2023-04-03 00:00:00,
2023-04-03 12:00:00,
2023-04-04 00:00:00,
2023-04-04 12:00:00,
2023-04-05 00:00:00,
2023-04-05 12:00:00,
2023-04-06 00:00:00,
2023-04-06 12:00:00,
2023-04-07 00:00:00,
2023-04-07 12:00:00,
2023-04-08 00:00:00,
2023-04-08 12:00:00,9
2023-04-09 00:00:00,15
2023-04-09 12:00:00,15
2023-04-10 00:00:00,
2023-04-10 12:00:00,
2023-04-11 00:00:00,
2023-04-11 12:00:00,
2023-04-12 00:00:00,
2023-04-12 12:00:00,
2023-04-13 00:00:00,11
2023-04-13 12:00:00,18
2023-04-14 00:00:00,15
2023-04-14 12:00:00,2
2023-04-15 00:00:00,
2023-04-15 12:00:00,2
2023-04-16 00:00:00,7
2023-04-16 12:00:00,9
2023-04-17 00:00:00,1
2023-04-17 12:00:00,
2023-04-18 00:00:00,
2023-04-18 12:00:00,
2023-04-19 00:00:00,
2023-04-19 12:00:00,
2023-04-20 00:00:00,
2023-04-20 12:00:00,9
2023-04-21 00:00:00,8
2023-04-21 12:00:00,2
2023-04-22 00:00:00,1
2023-04-22 12:00:00,6
2023-04-23 00:00:00,5
2023-04-23 12:00:00,4
2023-04-24 00:00:00,
2023-04-24 12:00:00,
2023-04-25 00:00:00,
2023-04-25 12:00:00,
2023-04-26 00:00:00,
2023-04-26 12:00:00,
2023-04-27 00:00:00,
2023-04-27 12:00:00,4
2023-04-28 00:00:00,2
2023-04-28 12:00:00,1
2023-04-29 00:00:00,3
2023-04-29 12:00:00,16
2023-04-30 00:00:00,25
2023-04-30 12:00:00,10
2023-05-01 00:00:00,3
2023-05-01 12:00:00,
2023-05-02 00:00:00,1
2023-05-02 12:00:00,1
2023-05-03 00:00:00,3
