time,count
2026-01-23 00:00:00,169
2026-01-23 12:00:00,246
2026-01-24 00:00:00,328
2026-01-24 12:00:00,411
2026-01-25 00:00:00,549
2026-01-25 12:00:00,254
2026-01-26 00:00:00,145
2026-01-26 12:00:00,202
2026-01-27 00:00:00,197
2026-01-27 12:00:00,259
2026-01-28 00:00:00,254
2026-01-28 12:00:00,142
2026-01-29 00:00:00,193
2026-01-29 12:00:00,127
2026-01-30 00:00:00,114
2026-01-30 12:00:00,91
2026-01-31 00:00:00,80
2026-01-31 12:00:00,70
2026-02-01 00:00:00,45
2026-02-01 12:00:00,9
2026-02-02 00:00:00,53
2026-02-02 12:00:00,31
2026-02-03 00:00:00,34
2026-02-03 12:00:00,192
2026-02-04 00:00:00,417
2026-02-04 12:00:00,173
2026-02-05 00:00:00,254
2026-02-05 12:00:00,412
2026-02-06 00:00:00,286
2026-02-06 12:00:00,102
2026-02-07 00:00:00,93
2026-02-07 12:00:00,269
2026-02-08 00:00:00,471
2026-02-08 12:00:00,3143
2026-02-09 00:00:00,2778
2026-02-09 12:00:00,1617
2026-02-10 00:00:00,667
2026-02-10 12:00:00,372
2026-02-11 00:00:00,193
2026-02-11 12:00:00,101
2026-02-12 00:00:00,84
2026-02-12 12:00:00,60
2026-02-13 00:00:00,50
2026-02-13 12:00:00,46
2026-02-14 00:00:00,193
2026-02-14 12:00:00,79
2026-02-15 00:00:00,43
2026-02-15 12:00:00,48
2026-02-16 00:00:00,174
2026-02-16 12:00:00,193
2026-02-17 00:00:00,180
2026-02-17 12:00:00,179
2026-02-18 00:00:00,165
2026-02-18 12:00:00,96
2026-02-19 00:00:00,34
2026-02-19 12:00:00,34
