time,count
2022-10-09 00:00:00,13
2022-10-09 12:00:00,19
2022-10-10 00:00:00,71
2022-10-10 12:00:00,127
2022-10-11 00:00:00,26
2022-10-11 12:00:00,19
2022-10-12 00:00:00,45
2022-10-12 12:00:00,56
2022-10-13 00:00:00,71
2022-10-13 12:00:00,72
2022-10-14 00:00:00,64
2022-10-14 12:00:00,54
2022-10-15 00:00:00,14
2022-10-15 12:00:00,23
2022-10-16 00:00:00,12
2022-10-16 12:00:00,142
2022-10-17 00:00:00,64
2022-10-17 12:00:00,107
2022-10-18 00:00:00,50
2022-10-18 12:00:00,138
2022-10-19 00:00:00,76
2022-10-19 12:00:00,256
2022-10-20 00:00:00,111
2022-10-20 12:00:00,134
2022-10-21 00:00:00,31
2022-10-21 12:00:00,156
2022-10-22 00:00:00,138
2022-10-22 12:00:00,115
2022-10-23 00:00:00,69
2022-10-23 12:00:00,111
2022-10-24 00:00:00,83
2022-10-24 12:00:00,120
2022-10-25 00:00:00,88
2022-10-25 12:00:00,141
2022-10-26 00:00:00,46
2022-10-26 12:00:00,179
2022-10-27 00:00:00,97
2022-10-27 12:00:00,166
2022-10-28 00:00:00,28
2022-10-28 12:00:00,9
2022-10-29 00:00:00,51
2022-10-29 12:00:00,104
2022-10-30 00:00:00,104
2022-10-30 12:00:00,128
2022-10-31 00:00:00,76
2022-10-31 12:00:00,95
2022-11-01 00:00:00,130
2022-11-01 12:00:00,192
2022-11-02 00:00:00,152
2022-11-02 12:00:00,250
2022-11-03 00:00:00,170
2022-11-03 12:00:00,446
2022-11-04 00:00:00,646
2022-11-04 12:00:00,794
2022-11-05 00:00:00,413
2022-11-05 12:00:00,320
2022-11-06 00:00:00,152
2022-11-06 12:00:00,92
2022-11-07 00:00:00,17
2022-11-07 12:00:00,18
2022-11-08 00:00:00,9
2022-11-08 12:00:00,9
2022-11-09 00:00:00,6
2022-11-09 12:00:00,8
2022-11-10 00:00:00,6
2022-11-10 12:00:00,2
2022-11-11 00:00:00,3
2022-11-11 12:00:00,1
2022-11-12 00:00:00,1
2022-11-12 12:00:00,3
2022-11-13 00:00:00,2
2022-11-13 12:00:00,4
2022-11-14 00:00:00,1
2022-11-14 12:00:00,1
2022-11-15 00:00:00,3
2022-11-15 12:00:00,3
2022-11-16 00:00:00,
2022-11-16 12:00:00,2
2022-11-17 00:00:00,
2022-11-17 12:00:00,7
