time,count
2024-02-28 12:00:00,-0.22326646180551157
2024-02-29 00:00:00,-0.22326646180551157
2024-02-29 12:00:00,-0.13008872472135655
2024-03-01 00:00:00,2.5720656507191393
2024-03-01 12:00:00,4.000790952676184
2024-03-02 00:00:00,2.913717353361041
2024-03-02 12:00:00,3.721257741423718
2024-03-03 00:00:00,1.2675773315409689
2024-03-03 12:00:00,4.715153603654706
2024-03-04 00:00:00,1.1122811030673772
2024-03-04 12:00:00,1.9508807368247723
2024-03-05 00:00:00,1.826643754045899
2024-03-05 12:00:00,5.149983043380762
2024-03-06 00:00:00,2.541006405024421
2024-03-06 12:00:00,3.907613215592028
2024-03-07 00:00:00,1.019103365983222
2024-03-07 12:00:00,0.3979184520888553
2024-03-08 00:00:00,-0.22326646180551157
2024-03-08 12:00:00,
2024-03-09 00:00:00,-0.2853849531949483
2024-03-09 12:00:00,-0.3164441988896666
2024-03-10 00:00:00,-0.3164441988896666
2024-03-10 12:00:00,-0.2853849531949483
2024-03-11 00:00:00,-0.2853849531949483
2024-03-11 12:00:00,-0.19220721611079322
2024-03-12 00:00:00,0.08732599514167186
2024-03-12 12:00:00,-0.13008872472135655
2024-03-13 00:00:00,-0.3164441988896666
2024-03-13 12:00:00,-0.2853849531949483
2024-03-14 00:00:00,-0.2853849531949483
2024-03-14 12:00:00,-0.2543257075002299
2024-03-15 00:00:00,
2024-03-15 12:00:00,-0.2543257075002299
2024-03-16 00:00:00,-0.2853849531949483
2024-03-16 12:00:00,
2024-03-17 00:00:00,
2024-03-17 12:00:00,
2024-03-18 00:00:00,
2024-03-18 12:00:00,
2024-03-19 00:00:00,
2024-03-19 12:00:00,
2024-03-20 00:00:00,
2024-03-20 12:00:00,
2024-03-21 00:00:00,
2024-03-21 12:00:00,
2024-03-22 00:00:00,
2024-03-22 12:00:00,
2024-03-23 00:00:00,
2024-03-23 12:00:00,
2024-03-24 00:00:00,
2024-03-24 12:00:00,-0.3164441988896666
2024-03-25 00:00:00,
2024-03-25 12:00:00,
2024-03-26 00:00:00,
2024-03-26 12:00:00,
2024-03-27 00:00:00,
2024-03-27 12:00:00,
2024-03-28 00:00:00,
2024-03-28 12:00:00,
2024-03-29 00:00:00,
2024-03-29 12:00:00,
2024-03-30 00:00:00,
2024-03-30 12:00:00,
2024-03-31 00:00:00,
2024-03-31 12:00:00,
2024-04-01 00:00:00,
2024-04-01 12:00:00,
2024-04-02 00:00:00,
2024-04-02 12:00:00,
2024-04-03 00:00:00,
2024-04-03 12:00:00,
2024-04-04 00:00:00,
2024-04-04 12:00:00,
2024-04-05 00:00:00,
2024-04-05 12:00:00,
2024-04-06 00:00:00,
2024-04-06 12:00:00,
2024-04-07 00:00:00,
2024-04-07 12:00:00,
2024-04-08 00:00:00,
2024-04-08 12:00:00,
2024-04-09 00:00:00,
2024-04-09 12:00:00,
2024-04-10 00:00:00,
2024-04-10 12:00:00,
2024-04-11 00:00:00,
2024-04-11 12:00:00,
2024-04-12 00:00:00,
2024-04-12 12:00:00,
2024-04-13 00:00:00,
2024-04-13 12:00:00,
2024-04-14 00:00:00,
2024-04-14 12:00:00,
2024-04-15 00:00:00,
2024-04-15 12:00:00,
2024-04-16 00:00:00,
2024-04-16 12:00:00,
2024-04-17 00:00:00,
2024-04-17 12:00:00,
2024-04-18 00:00:00,
2024-04-18 12:00:00,
2024-04-19 00:00:00,
2024-04-19 12:00:00,
2024-04-20 00:00:00,
2024-04-20 12:00:00,
2024-04-21 00:00:00,
2024-04-21 12:00:00,
2024-04-22 00:00:00,
2024-04-22 12:00:00,
2024-04-23 00:00:00,
2024-04-23 12:00:00,
2024-04-24 00:00:00,
2024-04-24 12:00:00,
2024-04-25 00:00:00,
2024-04-25 12:00:00,
2024-04-26 00:00:00,
2024-04-26 12:00:00,
2024-04-27 00:00:00,
2024-04-27 12:00:00,
2024-04-28 00:00:00,
2024-04-28 12:00:00,
2024-04-29 00:00:00,
2024-04-29 12:00:00,
2024-04-30 00:00:00,
2024-04-30 12:00:00,
2024-05-01 00:00:00,
2024-05-01 12:00:00,
2024-05-02 00:00:00,
2024-05-02 12:00:00,
2024-05-03 00:00:00,
2024-05-03 12:00:00,
2024-05-04 00:00:00,
2024-05-04 12:00:00,
2024-05-05 00:00:00,
2024-05-05 12:00:00,
2024-05-06 00:00:00,
2024-05-06 12:00:00,
2024-05-07 00:00:00,
2024-05-07 12:00:00,
2024-05-08 00:00:00,
2024-05-08 12:00:00,
2024-05-09 00:00:00,
2024-05-09 12:00:00,
2024-05-10 00:00:00,
2024-05-10 12:00:00,
2024-05-11 00:00:00,
2024-05-11 12:00:00,
2024-05-12 00:00:00,
2024-05-12 12:00:00,
2024-05-13 00:00:00,
2024-05-13 12:00:00,
2024-05-14 00:00:00,
2024-05-14 12:00:00,
2024-05-15 00:00:00,
2024-05-15 12:00:00,
2024-05-16 00:00:00,
2024-05-16 12:00:00,
2024-05-17 00:00:00,
2024-05-17 12:00:00,
2024-05-18 00:00:00,
2024-05-18 12:00:00,
2024-05-19 00:00:00,
2024-05-19 12:00:00,
2024-05-20 00:00:00,
2024-05-20 12:00:00,
2024-05-21 00:00:00,
2024-05-21 12:00:00,
2024-05-22 00:00:00,
2024-05-22 12:00:00,
2024-05-23 00:00:00,
2024-05-23 12:00:00,
2024-05-24 00:00:00,
2024-05-24 12:00:00,
2024-05-25 00:00:00,
2024-05-25 12:00:00,
2024-05-26 00:00:00,
2024-05-26 12:00:00,
2024-05-27 00:00:00,
2024-05-27 12:00:00,
2024-05-28 00:00:00,
2024-05-28 12:00:00,
2024-05-29 00:00:00,
2024-05-29 12:00:00,
2024-05-30 00:00:00,
2024-05-30 12:00:00,
2024-05-31 00:00:00,
2024-05-31 12:00:00,
2024-06-01 00:00:00,
2024-06-01 12:00:00,
2024-06-02 00:00:00,
2024-06-02 12:00:00,
2024-06-03 00:00:00,
2024-06-03 12:00:00,
2024-06-04 00:00:00,
2024-06-04 12:00:00,
2024-06-05 00:00:00,
2024-06-05 12:00:00,
2024-06-06 00:00:00,-0.3164441988896666
