time,count
2024-02-28,-0.2806115490135116
2024-02-29,-0.16564527893272507
2024-03-01,3.49685161078376
2024-03-02,3.5296991165211273
2024-03-03,3.1848003062787678
2024-03-04,1.6409675366224916
2024-03-05,3.710360398076649
2024-03-06,3.4311565993090247
2024-03-07,0.7705086345822508
2024-03-08,-0.2806115490135116
2024-03-09,-0.2970353018821954
2024-03-10,-0.2970353018821954
2024-03-11,-0.2313402904074602
2024-03-12,-0.0014077502458871769
2024-03-13,-0.2970353018821954
2024-03-14,-0.2641877961448278
2024-03-15,-0.2970353018821954
2024-03-16,-0.31345905475087915
2024-03-17,
2024-03-18,
2024-03-19,
2024-03-20,
2024-03-21,
2024-03-22,
2024-03-23,
2024-03-24,-0.32988280761956296
2024-03-25,
2024-03-26,
2024-03-27,
2024-03-28,
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,
2024-04-02,
2024-04-03,
2024-04-04,
2024-04-05,
2024-04-06,
2024-04-07,
2024-04-08,
2024-04-09,
2024-04-10,
2024-04-11,
2024-04-12,
2024-04-13,
2024-04-14,
2024-04-15,
2024-04-16,
2024-04-17,
2024-04-18,
2024-04-19,
2024-04-20,
2024-04-21,
2024-04-22,
2024-04-23,
2024-04-24,
2024-04-25,
2024-04-26,
2024-04-27,
2024-04-28,
2024-04-29,
2024-04-30,
2024-05-01,
2024-05-02,
2024-05-03,
2024-05-04,
2024-05-05,
2024-05-06,
2024-05-07,
2024-05-08,
2024-05-09,
2024-05-10,
2024-05-11,
2024-05-12,
2024-05-13,
2024-05-14,
2024-05-15,
2024-05-16,
2024-05-17,
2024-05-18,
2024-05-19,
2024-05-20,
2024-05-21,
2024-05-22,
2024-05-23,
2024-05-24,
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,
2024-05-29,
2024-05-30,
2024-05-31,
2024-06-01,
2024-06-02,
2024-06-03,
2024-06-04,
2024-06-05,
2024-06-06,-0.32988280761956296
