time,count
2026-05-01 00:00:00,3
2026-05-01 12:00:00,4
2026-05-02 00:00:00,102
2026-05-02 12:00:00,329
2026-05-03 00:00:00,258
2026-05-03 12:00:00,83
2026-05-04 00:00:00,136
2026-05-04 12:00:00,46
2026-05-05 00:00:00,76
2026-05-05 12:00:00,46
2026-05-06 00:00:00,31
2026-05-06 12:00:00,16
2026-05-07 00:00:00,34
2026-05-07 12:00:00,15
2026-05-08 00:00:00,22
2026-05-08 12:00:00,20
2026-05-09 00:00:00,22
2026-05-09 12:00:00,17
2026-05-10 00:00:00,23
2026-05-10 12:00:00,5
2026-05-11 00:00:00,44
2026-05-11 12:00:00,4
2026-05-12 00:00:00,9
2026-05-12 12:00:00,3
2026-05-13 00:00:00,49
2026-05-13 12:00:00,14
2026-05-14 00:00:00,55
2026-05-14 12:00:00,2
2026-05-15 00:00:00,14
2026-05-15 12:00:00,6
2026-05-16 00:00:00,7
2026-05-16 12:00:00,9
2026-05-17 00:00:00,3
2026-05-17 12:00:00,2
2026-05-18 00:00:00,4
2026-05-18 12:00:00,5
2026-05-19 00:00:00,7
2026-05-19 12:00:00,3
2026-05-20 00:00:00,3
2026-05-20 12:00:00,2
2026-05-21 00:00:00,3
2026-05-21 12:00:00,4
2026-05-22 00:00:00,2
2026-05-22 12:00:00,
2026-05-23 00:00:00,1
2026-05-23 12:00:00,1
2026-05-24 00:00:00,6
2026-05-24 12:00:00,3
2026-05-25 00:00:00,4
2026-05-25 12:00:00,570
2026-05-26 00:00:00,121
2026-05-26 12:00:00,20
2026-05-27 00:00:00,9
2026-05-27 12:00:00,1
2026-05-28 00:00:00,4
2026-05-28 12:00:00,
