time,count
2026-06-14 00:00:00,5968
2026-06-14 12:00:00,5333
2026-06-15 00:00:00,1369
2026-06-15 12:00:00,2215
2026-06-16 00:00:00,752
2026-06-16 12:00:00,2852
2026-06-17 00:00:00,1312
2026-06-17 12:00:00,1359
2026-06-18 00:00:00,665
2026-06-18 12:00:00,1011
2026-06-19 00:00:00,482
2026-06-19 12:00:00,904
2026-06-20 00:00:00,247
2026-06-20 12:00:00,632
2026-06-21 00:00:00,274
2026-06-21 12:00:00,298
2026-06-22 00:00:00,273
2026-06-22 12:00:00,387
2026-06-23 00:00:00,90
2026-06-23 12:00:00,78
2026-06-24 00:00:00,24
2026-06-24 12:00:00,34
2026-06-25 00:00:00,12
2026-06-25 12:00:00,12
2026-06-26 00:00:00,4
2026-06-26 12:00:00,
2026-06-27 00:00:00,
2026-06-27 12:00:00,3
2026-06-28 00:00:00,1
2026-06-28 12:00:00,3
2026-06-29 00:00:00,
2026-06-29 12:00:00,1
2026-06-30 00:00:00,2
2026-06-30 12:00:00,2
2026-07-01 00:00:00,
2026-07-01 12:00:00,1
2026-07-02 00:00:00,
2026-07-02 12:00:00,
2026-07-03 00:00:00,2
2026-07-03 12:00:00,1
2026-07-04 00:00:00,1
2026-07-04 12:00:00,1
2026-07-05 00:00:00,
2026-07-05 12:00:00,
2026-07-06 00:00:00,
2026-07-06 12:00:00,
2026-07-07 00:00:00,1
2026-07-07 12:00:00,
2026-07-08 00:00:00,
2026-07-08 12:00:00,
2026-07-09 00:00:00,
2026-07-09 12:00:00,
2026-07-10 00:00:00,
2026-07-10 12:00:00,
2026-07-11 00:00:00,
2026-07-11 12:00:00,
