time,polarity
2026-06-14 00:00:00,0.08813379346960445
2026-06-15 00:00:00,-0.010323660714285714
2026-06-16 00:00:00,0.06409544950055494
2026-06-17 00:00:00,-0.040059902658180456
2026-06-18 00:00:00,0.03341288782816229
2026-06-19 00:00:00,0.10894660894660894
2026-06-20 00:00:00,-0.10921501706484642
2026-06-21 00:00:00,-0.026223776223776224
2026-06-22 00:00:00,-0.045454545454545456
2026-06-23 00:00:00,-0.11904761904761904
2026-06-24 00:00:00,-0.46551724137931033
2026-06-25 00:00:00,0.3333333333333333
2026-06-26 00:00:00,0.25
2026-06-27 00:00:00,-0.6666666666666666
2026-06-28 00:00:00,-1.0
2026-06-29 00:00:00,0.0
2026-06-30 00:00:00,0.5
2026-07-01 00:00:00,-1.0
2026-07-02 00:00:00,
2026-07-03 00:00:00,0.3333333333333333
2026-07-04 00:00:00,-1.0
2026-07-05 00:00:00,
2026-07-06 00:00:00,
2026-07-07 00:00:00,0.0
2026-07-08 00:00:00,
2026-07-09 00:00:00,
2026-07-10 00:00:00,
2026-07-11 00:00:00,
