time,count
2026-06-14 00:00:00,4.440060167619574
2026-06-14 06:00:00,3.2955335075844827
2026-06-14 12:00:00,4.33760893206656
2026-06-14 18:00:00,2.468605677763733
2026-06-15 00:00:00,0.9713540496104099
2026-06-15 06:00:00,0.033193449760674086
2026-06-15 12:00:00,1.2640718654761622
2026-06-15 18:00:00,0.9786719950070537
2026-06-16 00:00:00,0.33615638918172763
2026-06-16 06:00:00,-0.23464335175648918
2026-06-16 12:00:00,0.9025653628819581
2026-06-16 18:00:00,2.272484741133679
2026-06-17 00:00:00,0.8396310324708214
2026-06-17 06:00:00,0.0814918893785232
2026-06-17 12:00:00,0.7327890296798218
2026-06-17 18:00:00,0.2571225788979745
2026-06-18 00:00:00,0.18833389216952276
2026-06-18 06:00:00,-0.21415310464588652
2026-06-18 12:00:00,0.4605614609246723
2026-06-18 18:00:00,0.020021148046715235
2026-06-19 00:00:00,0.037584216998660366
2026-06-19 06:00:00,-0.3312402309921874
2026-06-19 12:00:00,0.4078722540688369
2026-06-19 18:00:00,-0.0838936765856268
2026-06-20 00:00:00,-0.22439822820118785
2026-06-20 06:00:00,-0.41320121943459803
2026-06-20 12:00:00,0.034657038840002846
2026-06-20 18:00:00,-0.10877469093421574
2026-06-21 00:00:00,-0.1892720902972976
2026-06-21 06:00:00,-0.4088104521966118
2026-06-21 12:00:00,-0.23025258451850292
2026-06-21 18:00:00,-0.33270382007151617
2026-06-22 00:00:00,-0.18780850121796883
2026-06-22 06:00:00,-0.4117376303552693
2026-06-22 12:00:00,-0.2200074609632016
2026-06-22 18:00:00,-0.21268951556655777
2026-06-23 00:00:00,-0.4029560958792967
2026-06-23 06:00:00,-0.46442683721110467
2026-06-23 12:00:00,-0.4307642883865432
2026-06-23 18:00:00,-0.45418171365580334
2026-06-24 00:00:00,-0.4863806734010361
2026-06-24 06:00:00,-0.4775991389250635
2026-06-24 12:00:00,-0.46881760444909093
2026-06-24 18:00:00,-0.48052631708372107
2026-06-25 00:00:00,-0.4863806734010361
2026-06-25 06:00:00,-0.49516220787700865
2026-06-25 12:00:00,-0.4907714406390224
2026-06-25 18:00:00,-0.4907714406390224
2026-06-26 00:00:00,-0.49516220787700865
2026-06-26 06:00:00,-0.49808938603566616
2026-06-26 12:00:00,
2026-06-26 18:00:00,
2026-06-27 00:00:00,
2026-06-27 06:00:00,
2026-06-27 12:00:00,-0.49808938603566616
2026-06-27 18:00:00,-0.4966257969563374
2026-06-28 00:00:00,
2026-06-28 06:00:00,-0.49808938603566616
2026-06-28 12:00:00,-0.4966257969563374
2026-06-28 18:00:00,-0.49808938603566616
2026-06-29 00:00:00,
2026-06-29 06:00:00,
2026-06-29 12:00:00,-0.49808938603566616
2026-06-29 18:00:00,
2026-06-30 00:00:00,-0.49808938603566616
2026-06-30 06:00:00,-0.49808938603566616
2026-06-30 12:00:00,-0.4966257969563374
2026-06-30 18:00:00,
2026-07-01 00:00:00,
2026-07-01 06:00:00,
2026-07-01 12:00:00,
2026-07-01 18:00:00,-0.49808938603566616
2026-07-02 00:00:00,
2026-07-02 06:00:00,
2026-07-02 12:00:00,
2026-07-02 18:00:00,
2026-07-03 00:00:00,-0.49808938603566616
2026-07-03 06:00:00,-0.49808938603566616
2026-07-03 12:00:00,-0.49808938603566616
2026-07-03 18:00:00,
2026-07-04 00:00:00,-0.49808938603566616
2026-07-04 06:00:00,
2026-07-04 12:00:00,
2026-07-04 18:00:00,-0.49808938603566616
2026-07-05 00:00:00,
2026-07-05 06:00:00,
2026-07-05 12:00:00,
2026-07-05 18:00:00,
2026-07-06 00:00:00,
2026-07-06 06:00:00,
2026-07-06 12:00:00,
2026-07-06 18:00:00,
2026-07-07 00:00:00,-0.49808938603566616
2026-07-07 06:00:00,
2026-07-07 12:00:00,
2026-07-07 18:00:00,
2026-07-08 00:00:00,
2026-07-08 06:00:00,
2026-07-08 12:00:00,
2026-07-08 18:00:00,
2026-07-09 00:00:00,
2026-07-09 06:00:00,
2026-07-09 12:00:00,
2026-07-09 18:00:00,
2026-07-10 00:00:00,
2026-07-10 06:00:00,
2026-07-10 12:00:00,
2026-07-10 18:00:00,
2026-07-11 00:00:00,
2026-07-11 06:00:00,
2026-07-11 12:00:00,
2026-07-11 18:00:00,
