time,count
2024-01-01 06:00:00,350
2024-01-01 12:00:00,456
2024-01-01 18:00:00,446
2024-01-02 00:00:00,172
2024-01-02 06:00:00,108
2024-01-02 12:00:00,112
2024-01-02 18:00:00,128
2024-01-03 00:00:00,122
2024-01-03 06:00:00,48
2024-01-03 12:00:00,54
2024-01-03 18:00:00,63
2024-01-04 00:00:00,41
2024-01-04 06:00:00,25
2024-01-04 12:00:00,37
2024-01-04 18:00:00,47
2024-01-05 00:00:00,35
2024-01-05 06:00:00,54
2024-01-05 12:00:00,20
2024-01-05 18:00:00,21
2024-01-06 00:00:00,8
2024-01-06 06:00:00,8
2024-01-06 12:00:00,7
2024-01-06 18:00:00,5
2024-01-07 00:00:00,12
2024-01-07 06:00:00,17
2024-01-07 12:00:00,9
2024-01-07 18:00:00,2
2024-01-08 00:00:00,10
2024-01-08 06:00:00,5
2024-01-08 12:00:00,5
2024-01-08 18:00:00,2
2024-01-09 00:00:00,2
2024-01-09 06:00:00,15
2024-01-09 12:00:00,6
2024-01-09 18:00:00,4
2024-01-10 00:00:00,1
2024-01-10 06:00:00,2
2024-01-10 12:00:00,2
2024-01-10 18:00:00,2
2024-01-11 00:00:00,8
2024-01-11 06:00:00,1
2024-01-11 12:00:00,
2024-01-11 18:00:00,3
2024-01-12 00:00:00,9
2024-01-12 06:00:00,48
2024-01-12 12:00:00,41
2024-01-12 18:00:00,23
2024-01-13 00:00:00,14
2024-01-13 06:00:00,10
2024-01-13 12:00:00,3
2024-01-13 18:00:00,
2024-01-14 00:00:00,
2024-01-14 06:00:00,2
2024-01-14 12:00:00,2
2024-01-14 18:00:00,2
2024-01-15 00:00:00,2
2024-01-15 06:00:00,2
2024-01-15 12:00:00,3
2024-01-15 18:00:00,
2024-01-16 00:00:00,
2024-01-16 06:00:00,1
2024-01-16 12:00:00,2
2024-01-16 18:00:00,2
2024-01-17 00:00:00,
2024-01-17 06:00:00,1
2024-01-17 12:00:00,1
2024-01-17 18:00:00,1
2024-01-18 00:00:00,
2024-01-18 06:00:00,
2024-01-18 12:00:00,
2024-01-18 18:00:00,
2024-01-19 00:00:00,1
2024-01-19 06:00:00,
2024-01-19 12:00:00,5
2024-01-19 18:00:00,1
2024-01-20 00:00:00,1
2024-01-20 06:00:00,
2024-01-20 12:00:00,6
2024-01-20 18:00:00,3
2024-01-21 00:00:00,1
2024-01-21 06:00:00,3
2024-01-21 12:00:00,1
2024-01-21 18:00:00,2
2024-01-22 00:00:00,3
2024-01-22 06:00:00,1
2024-01-22 12:00:00,
2024-01-22 18:00:00,2
2024-01-23 00:00:00,1
2024-01-23 06:00:00,8
2024-01-23 12:00:00,
2024-01-23 18:00:00,1
2024-01-24 00:00:00,1
2024-01-24 06:00:00,
2024-01-24 12:00:00,
2024-01-24 18:00:00,6
2024-01-25 00:00:00,
2024-01-25 06:00:00,
2024-01-25 12:00:00,2
2024-01-25 18:00:00,2
2024-01-26 00:00:00,1
2024-01-26 06:00:00,
2024-01-26 12:00:00,1
2024-01-26 18:00:00,2
2024-01-27 00:00:00,2
2024-01-27 06:00:00,
2024-01-27 12:00:00,
2024-01-27 18:00:00,
2024-01-28 00:00:00,
2024-01-28 06:00:00,
2024-01-28 12:00:00,
2024-01-28 18:00:00,
2024-01-29 00:00:00,
2024-01-29 06:00:00,
2024-01-29 12:00:00,
2024-01-29 18:00:00,4
2024-01-30 00:00:00,1
2024-01-30 06:00:00,
2024-01-30 12:00:00,2
2024-01-30 18:00:00,1
2024-01-31 00:00:00,1
2024-01-31 06:00:00,
2024-01-31 12:00:00,1
2024-01-31 18:00:00,2
