time,count
2022-08-20 18:00:00,109
2022-08-21 00:00:00,40
2022-08-21 06:00:00,36
2022-08-21 12:00:00,26
2022-08-21 18:00:00,5
2022-08-22 00:00:00,3
2022-08-22 06:00:00,3
2022-08-22 12:00:00,12
2022-08-22 18:00:00,8
2022-08-23 00:00:00,8
2022-08-23 06:00:00,22
2022-08-23 12:00:00,32
2022-08-23 18:00:00,16
2022-08-24 00:00:00,11
2022-08-24 06:00:00,26
2022-08-24 12:00:00,21
2022-08-24 18:00:00,22
2022-08-25 00:00:00,5
2022-08-25 06:00:00,41
2022-08-25 12:00:00,34
2022-08-25 18:00:00,19
2022-08-26 00:00:00,4
2022-08-26 06:00:00,38
2022-08-26 12:00:00,111
2022-08-26 18:00:00,91
2022-08-27 00:00:00,7
2022-08-27 06:00:00,35
2022-08-27 12:00:00,132
2022-08-27 18:00:00,85
2022-08-28 00:00:00,50
2022-08-28 06:00:00,154
2022-08-28 12:00:00,83
2022-08-28 18:00:00,59
2022-08-29 00:00:00,29
2022-08-29 06:00:00,62
2022-08-29 12:00:00,83
2022-08-29 18:00:00,88
2022-08-30 00:00:00,75
2022-08-30 06:00:00,81
2022-08-30 12:00:00,123
2022-08-30 18:00:00,89
2022-08-31 00:00:00,56
2022-08-31 06:00:00,76
2022-08-31 12:00:00,70
2022-08-31 18:00:00,39
2022-09-01 00:00:00,35
2022-09-01 06:00:00,75
2022-09-01 12:00:00,81
2022-09-01 18:00:00,35
2022-09-02 00:00:00,31
2022-09-02 06:00:00,48
2022-09-02 12:00:00,113
2022-09-02 18:00:00,88
2022-09-03 00:00:00,47
2022-09-03 06:00:00,83
2022-09-03 12:00:00,38
2022-09-03 18:00:00,17
2022-09-04 00:00:00,24
2022-09-04 06:00:00,41
2022-09-04 12:00:00,41
2022-09-04 18:00:00,26
2022-09-05 00:00:00,23
2022-09-05 06:00:00,37
2022-09-05 12:00:00,85
2022-09-05 18:00:00,14
2022-09-06 00:00:00,22
2022-09-06 06:00:00,23
2022-09-06 12:00:00,34
2022-09-06 18:00:00,7
2022-09-07 00:00:00,8
2022-09-07 06:00:00,13
2022-09-07 12:00:00,17
2022-09-07 18:00:00,8
2022-09-08 00:00:00,7
2022-09-08 06:00:00,9
2022-09-08 12:00:00,13
2022-09-08 18:00:00,4
2022-09-09 00:00:00,3
2022-09-09 06:00:00,14
2022-09-09 12:00:00,14
2022-09-09 18:00:00,18
2022-09-10 00:00:00,15
2022-09-10 06:00:00,17
2022-09-10 12:00:00,43
2022-09-10 18:00:00,26
2022-09-11 00:00:00,7
2022-09-11 06:00:00,11
2022-09-11 12:00:00,48
2022-09-11 18:00:00,22
2022-09-12 00:00:00,20
2022-09-12 06:00:00,25
2022-09-12 12:00:00,15
2022-09-12 18:00:00,6
2022-09-13 00:00:00,6
2022-09-13 06:00:00,15
2022-09-13 12:00:00,17
2022-09-13 18:00:00,7
2022-09-14 00:00:00,4
2022-09-14 06:00:00,9
2022-09-14 12:00:00,11
2022-09-14 18:00:00,9
2022-09-15 00:00:00,4
2022-09-15 06:00:00,20
2022-09-15 12:00:00,8
2022-09-15 18:00:00,5
2022-09-16 00:00:00,3
2022-09-16 06:00:00,11
2022-09-16 12:00:00,14
2022-09-16 18:00:00,14
2022-09-17 00:00:00,6
2022-09-17 06:00:00,22
2022-09-17 12:00:00,9
2022-09-17 18:00:00,3
2022-09-18 00:00:00,5
2022-09-18 06:00:00,12
2022-09-18 12:00:00,11
2022-09-18 18:00:00,11
2022-09-19 00:00:00,8
2022-09-19 06:00:00,9
2022-09-19 12:00:00,3
2022-09-19 18:00:00,5
2022-09-20 00:00:00,17
2022-09-20 06:00:00,15
2022-09-20 12:00:00,14
2022-09-20 18:00:00,11
2022-09-21 00:00:00,18
2022-09-21 06:00:00,6
2022-09-21 12:00:00,40
2022-09-21 18:00:00,18
2022-09-22 00:00:00,11
2022-09-22 06:00:00,15
2022-09-22 12:00:00,32
2022-09-22 18:00:00,3
2022-09-23 00:00:00,7
2022-09-23 06:00:00,14
2022-09-23 12:00:00,18
2022-09-23 18:00:00,10
2022-09-24 00:00:00,9
2022-09-24 06:00:00,15
2022-09-24 12:00:00,15
2022-09-24 18:00:00,6
2022-09-25 00:00:00,6
2022-09-25 06:00:00,15
2022-09-25 12:00:00,4
2022-09-25 18:00:00,4
2022-09-26 00:00:00,2
2022-09-26 06:00:00,5
2022-09-26 12:00:00,11
2022-09-26 18:00:00,1
2022-09-27 00:00:00,1
2022-09-27 06:00:00,15
2022-09-27 12:00:00,19
2022-09-27 18:00:00,
2022-09-28 00:00:00,3
2022-09-28 06:00:00,6
2022-09-28 12:00:00,10
2022-09-28 18:00:00,3
2022-09-29 00:00:00,1
2022-09-29 06:00:00,2
2022-09-29 12:00:00,8
2022-09-29 18:00:00,3
2022-09-30 00:00:00,3
2022-09-30 06:00:00,8
2022-09-30 12:00:00,4
2022-09-30 18:00:00,4
