time,count
2024-07-01 06:00:00,33
2024-07-01 12:00:00,16
2024-07-01 18:00:00,16
2024-07-02 00:00:00,1
2024-07-02 06:00:00,11
2024-07-02 12:00:00,7
2024-07-02 18:00:00,2
2024-07-03 00:00:00,7
2024-07-03 06:00:00,49
2024-07-03 12:00:00,23
2024-07-03 18:00:00,9
2024-07-04 00:00:00,7
2024-07-04 06:00:00,1
2024-07-04 12:00:00,14
2024-07-04 18:00:00,7
2024-07-05 00:00:00,1
2024-07-05 06:00:00,5
2024-07-05 12:00:00,4
2024-07-05 18:00:00,39
2024-07-06 00:00:00,19
2024-07-06 06:00:00,49
2024-07-06 12:00:00,48
2024-07-06 18:00:00,14
2024-07-07 00:00:00,4
2024-07-07 06:00:00,14
2024-07-07 12:00:00,7
2024-07-07 18:00:00,1
2024-07-08 00:00:00,3
2024-07-08 06:00:00,1
2024-07-08 12:00:00,3
2024-07-08 18:00:00,
2024-07-09 00:00:00,11
2024-07-09 06:00:00,21
2024-07-09 12:00:00,50
2024-07-09 18:00:00,39
2024-07-10 00:00:00,20
2024-07-10 06:00:00,8
2024-07-10 12:00:00,9
2024-07-10 18:00:00,46
2024-07-11 00:00:00,15
2024-07-11 06:00:00,21
2024-07-11 12:00:00,36
2024-07-11 18:00:00,100
2024-07-12 00:00:00,75
2024-07-12 06:00:00,40
2024-07-12 12:00:00,31
2024-07-12 18:00:00,59
2024-07-13 00:00:00,21
2024-07-13 06:00:00,22
2024-07-13 12:00:00,15
2024-07-13 18:00:00,75
2024-07-14 00:00:00,29
2024-07-14 06:00:00,8
2024-07-14 12:00:00,24
2024-07-14 18:00:00,84
2024-07-15 00:00:00,44
2024-07-15 06:00:00,41
2024-07-15 12:00:00,102
2024-07-15 18:00:00,107
2024-07-16 00:00:00,93
2024-07-16 06:00:00,85
2024-07-16 12:00:00,51
2024-07-16 18:00:00,46
2024-07-17 00:00:00,30
2024-07-17 06:00:00,42
2024-07-17 12:00:00,150
2024-07-17 18:00:00,71
2024-07-18 00:00:00,14
2024-07-18 06:00:00,28
2024-07-18 12:00:00,140
2024-07-18 18:00:00,38
2024-07-19 00:00:00,48
2024-07-19 06:00:00,82
2024-07-19 12:00:00,119
2024-07-19 18:00:00,74
2024-07-20 00:00:00,31
2024-07-20 06:00:00,159
2024-07-20 12:00:00,318
2024-07-20 18:00:00,644
2024-07-21 00:00:00,577
2024-07-21 06:00:00,414
2024-07-21 12:00:00,826
2024-07-21 18:00:00,565
2024-07-22 00:00:00,193
2024-07-22 06:00:00,246
2024-07-22 12:00:00,477
2024-07-22 18:00:00,331
2024-07-23 00:00:00,135
2024-07-23 06:00:00,213
2024-07-23 12:00:00,231
2024-07-23 18:00:00,174
2024-07-24 00:00:00,55
2024-07-24 06:00:00,99
2024-07-24 12:00:00,235
2024-07-24 18:00:00,292
2024-07-25 00:00:00,62
2024-07-25 06:00:00,177
2024-07-25 12:00:00,187
2024-07-25 18:00:00,414
2024-07-26 00:00:00,86
2024-07-26 06:00:00,132
2024-07-26 12:00:00,163
2024-07-26 18:00:00,391
2024-07-27 00:00:00,135
2024-07-27 06:00:00,154
2024-07-27 12:00:00,432
2024-07-27 18:00:00,348
2024-07-28 00:00:00,157
2024-07-28 06:00:00,149
2024-07-28 12:00:00,433
2024-07-28 18:00:00,684
2024-07-29 00:00:00,250
2024-07-29 06:00:00,566
2024-07-29 12:00:00,921
2024-07-29 18:00:00,423
2024-07-30 00:00:00,79
2024-07-30 06:00:00,333
2024-07-30 12:00:00,814
2024-07-30 18:00:00,766
2024-07-31 00:00:00,116
2024-07-31 06:00:00,170
2024-07-31 12:00:00,136
2024-07-31 18:00:00,539
2024-08-01 00:00:00,130
2024-08-01 06:00:00,79
2024-08-01 12:00:00,172
2024-08-01 18:00:00,518
2024-08-02 00:00:00,237
2024-08-02 06:00:00,244
2024-08-02 12:00:00,624
2024-08-02 18:00:00,469
2024-08-03 00:00:00,173
2024-08-03 06:00:00,351
2024-08-03 12:00:00,413
2024-08-03 18:00:00,533
2024-08-04 00:00:00,130
2024-08-04 06:00:00,130
2024-08-04 12:00:00,676
2024-08-04 18:00:00,580
2024-08-05 00:00:00,190
2024-08-05 06:00:00,142
2024-08-05 12:00:00,419
2024-08-05 18:00:00,321
2024-08-06 00:00:00,151
2024-08-06 06:00:00,378
2024-08-06 12:00:00,1127
2024-08-06 18:00:00,1295
2024-08-07 00:00:00,408
2024-08-07 06:00:00,537
2024-08-07 12:00:00,238
2024-08-07 18:00:00,510
2024-08-08 00:00:00,146
2024-08-08 06:00:00,233
2024-08-08 12:00:00,1246
2024-08-08 18:00:00,1147
2024-08-09 00:00:00,363
2024-08-09 06:00:00,307
2024-08-09 12:00:00,631
2024-08-09 18:00:00,649
2024-08-10 00:00:00,273
2024-08-10 06:00:00,246
2024-08-10 12:00:00,547
2024-08-10 18:00:00,959
2024-08-11 00:00:00,203
2024-08-11 06:00:00,72
2024-08-11 12:00:00,359
2024-08-11 18:00:00,464
2024-08-12 00:00:00,237
2024-08-12 06:00:00,142
2024-08-12 12:00:00,259
2024-08-12 18:00:00,287
2024-08-13 00:00:00,94
2024-08-13 06:00:00,85
2024-08-13 12:00:00,149
2024-08-13 18:00:00,227
2024-08-14 00:00:00,138
2024-08-14 06:00:00,151
2024-08-14 12:00:00,158
2024-08-14 18:00:00,82
