time,count
2025-06-01 00:00:00,259
2025-06-01 12:00:00,2218
2025-06-02 00:00:00,3930
2025-06-02 12:00:00,2764
2025-06-03 00:00:00,746
2025-06-03 12:00:00,644
2025-06-04 00:00:00,255
2025-06-04 12:00:00,266
2025-06-05 00:00:00,127
2025-06-05 12:00:00,72
2025-06-06 00:00:00,36
2025-06-06 12:00:00,48
2025-06-07 00:00:00,15
2025-06-07 12:00:00,31
2025-06-08 00:00:00,7
2025-06-08 12:00:00,13
2025-06-09 00:00:00,33
2025-06-09 12:00:00,21
2025-06-10 00:00:00,7
2025-06-10 12:00:00,12
2025-06-11 00:00:00,8
2025-06-11 12:00:00,34
2025-06-12 00:00:00,7
2025-06-12 12:00:00,13
2025-06-13 00:00:00,2
2025-06-13 12:00:00,13
2025-06-14 00:00:00,11
2025-06-14 12:00:00,7
2025-06-15 00:00:00,6
2025-06-15 12:00:00,22
2025-06-16 00:00:00,11
2025-06-16 12:00:00,10
2025-06-17 00:00:00,1
2025-06-17 12:00:00,2
2025-06-18 00:00:00,4
2025-06-18 12:00:00,79
2025-06-19 00:00:00,391
2025-06-19 12:00:00,286
2025-06-20 00:00:00,125
2025-06-20 12:00:00,82
2025-06-21 00:00:00,43
2025-06-21 12:00:00,49
2025-06-22 00:00:00,42
2025-06-22 12:00:00,185
2025-06-23 00:00:00,49
2025-06-23 12:00:00,20
2025-06-24 00:00:00,5
2025-06-24 12:00:00,28
2025-06-25 00:00:00,26
2025-06-25 12:00:00,6
2025-06-26 00:00:00,4
2025-06-26 12:00:00,18
2025-06-27 00:00:00,9
2025-06-27 12:00:00,68
2025-06-28 00:00:00,11
2025-06-28 12:00:00,9
