time,count
2025-06-01 00:00:00,2477
2025-06-02 00:00:00,6694
2025-06-03 00:00:00,1390
2025-06-04 00:00:00,521
2025-06-05 00:00:00,199
2025-06-06 00:00:00,84
2025-06-07 00:00:00,46
2025-06-08 00:00:00,20
2025-06-09 00:00:00,54
2025-06-10 00:00:00,19
2025-06-11 00:00:00,42
2025-06-12 00:00:00,20
2025-06-13 00:00:00,15
2025-06-14 00:00:00,18
2025-06-15 00:00:00,28
2025-06-16 00:00:00,21
2025-06-17 00:00:00,3
2025-06-18 00:00:00,83
2025-06-19 00:00:00,677
2025-06-20 00:00:00,207
2025-06-21 00:00:00,92
2025-06-22 00:00:00,227
2025-06-23 00:00:00,69
2025-06-24 00:00:00,33
2025-06-25 00:00:00,32
2025-06-26 00:00:00,22
2025-06-27 00:00:00,77
2025-06-28 00:00:00,20
