time,count
2022-09-07 12:00:00,8
2022-09-07 18:00:00,14
2022-09-08 00:00:00,
2022-09-08 06:00:00,3
2022-09-08 12:00:00,1
2022-09-08 18:00:00,148
2022-09-09 00:00:00,43
2022-09-09 06:00:00,4
2022-09-09 12:00:00,5
2022-09-09 18:00:00,221
2022-09-10 00:00:00,68
2022-09-10 06:00:00,27
2022-09-10 12:00:00,33
2022-09-10 18:00:00,198
2022-09-11 00:00:00,18
2022-09-11 06:00:00,25
2022-09-11 12:00:00,25
2022-09-11 18:00:00,136
2022-09-12 00:00:00,3
2022-09-12 06:00:00,
2022-09-12 12:00:00,6
2022-09-12 18:00:00,130
2022-09-13 00:00:00,2
2022-09-13 06:00:00,1
2022-09-13 12:00:00,4
2022-09-13 18:00:00,135
2022-09-14 00:00:00,
2022-09-14 06:00:00,
2022-09-14 12:00:00,23
2022-09-14 18:00:00,113
2022-09-15 00:00:00,
2022-09-15 06:00:00,12
2022-09-15 12:00:00,66
2022-09-15 18:00:00,57
2022-09-16 00:00:00,
2022-09-16 06:00:00,4
2022-09-16 12:00:00,38
2022-09-16 18:00:00,97
2022-09-17 00:00:00,
2022-09-17 06:00:00,18
2022-09-17 12:00:00,73
2022-09-17 18:00:00,53
2022-09-18 00:00:00,1
2022-09-18 06:00:00,10
2022-09-18 12:00:00,37
2022-09-18 18:00:00,87
2022-09-19 00:00:00,
2022-09-19 06:00:00,
2022-09-19 12:00:00,1
2022-09-19 18:00:00,121
2022-09-20 00:00:00,
2022-09-20 06:00:00,40
2022-09-20 12:00:00,69
2022-09-20 18:00:00,36
2022-09-21 00:00:00,23
2022-09-21 06:00:00,76
2022-09-21 12:00:00,91
2022-09-21 18:00:00,114
2022-09-22 00:00:00,79
2022-09-22 06:00:00,59
2022-09-22 12:00:00,74
2022-09-22 18:00:00,51
2022-09-23 00:00:00,44
2022-09-23 06:00:00,45
2022-09-23 12:00:00,97
2022-09-23 18:00:00,66
2022-09-24 00:00:00,36
2022-09-24 06:00:00,30
2022-09-24 12:00:00,45
2022-09-24 18:00:00,65
2022-09-25 00:00:00,25
2022-09-25 06:00:00,60
2022-09-25 12:00:00,55
2022-09-25 18:00:00,28
2022-09-26 00:00:00,32
2022-09-26 06:00:00,39
2022-09-26 12:00:00,46
2022-09-26 18:00:00,47
2022-09-27 00:00:00,15
2022-09-27 06:00:00,28
2022-09-27 12:00:00,55
2022-09-27 18:00:00,19
2022-09-28 00:00:00,15
2022-09-28 06:00:00,32
2022-09-28 12:00:00,49
2022-09-28 18:00:00,39
2022-09-29 00:00:00,12
2022-09-29 06:00:00,45
2022-09-29 12:00:00,95
2022-09-29 18:00:00,50
2022-09-30 00:00:00,38
2022-09-30 06:00:00,55
2022-09-30 12:00:00,56
2022-09-30 18:00:00,32
2022-10-01 00:00:00,21
2022-10-01 06:00:00,38
2022-10-01 12:00:00,30
2022-10-01 18:00:00,45
2022-10-02 00:00:00,20
2022-10-02 06:00:00,46
2022-10-02 12:00:00,42
2022-10-02 18:00:00,41
2022-10-03 00:00:00,29
2022-10-03 06:00:00,62
2022-10-03 12:00:00,50
2022-10-03 18:00:00,39
2022-10-04 00:00:00,14
2022-10-04 06:00:00,33
2022-10-04 12:00:00,38
2022-10-04 18:00:00,26
2022-10-05 00:00:00,21
2022-10-05 06:00:00,26
2022-10-05 12:00:00,29
2022-10-05 18:00:00,56
2022-10-06 00:00:00,17
2022-10-06 06:00:00,53
2022-10-06 12:00:00,84
2022-10-06 18:00:00,37
2022-10-07 00:00:00,14
2022-10-07 06:00:00,15
2022-10-07 12:00:00,28
2022-10-07 18:00:00,41
2022-10-08 00:00:00,19
2022-10-08 06:00:00,43
2022-10-08 12:00:00,107
2022-10-08 18:00:00,63
2022-10-09 00:00:00,55
2022-10-09 06:00:00,26
2022-10-09 12:00:00,34
2022-10-09 18:00:00,25
2022-10-10 00:00:00,15
2022-10-10 06:00:00,14
2022-10-10 12:00:00,29
2022-10-10 18:00:00,13
2022-10-11 00:00:00,12
2022-10-11 06:00:00,18
2022-10-11 12:00:00,83
2022-10-11 18:00:00,232
2022-10-12 00:00:00,74
2022-10-12 06:00:00,80
2022-10-12 12:00:00,81
2022-10-12 18:00:00,58
2022-10-13 00:00:00,14
2022-10-13 06:00:00,40
2022-10-13 12:00:00,21
2022-10-13 18:00:00,30
2022-10-14 00:00:00,7
2022-10-14 06:00:00,15
2022-10-14 12:00:00,49
2022-10-14 18:00:00,40
2022-10-15 00:00:00,20
2022-10-15 06:00:00,12
2022-10-15 12:00:00,32
2022-10-15 18:00:00,49
2022-10-16 00:00:00,14
2022-10-16 06:00:00,40
2022-10-16 12:00:00,32
2022-10-16 18:00:00,24
2022-10-17 00:00:00,22
2022-10-17 06:00:00,25
2022-10-17 12:00:00,20
2022-10-17 18:00:00,23
2022-10-18 00:00:00,8
2022-10-18 06:00:00,13
2022-10-18 12:00:00,15
2022-10-18 18:00:00,12
2022-10-19 00:00:00,2
2022-10-19 06:00:00,27
2022-10-19 12:00:00,87
2022-10-19 18:00:00,72
2022-10-20 00:00:00,33
2022-10-20 06:00:00,39
2022-10-20 12:00:00,206
2022-10-20 18:00:00,51
2022-10-21 00:00:00,19
2022-10-21 06:00:00,21
2022-10-21 12:00:00,29
2022-10-21 18:00:00,16
2022-10-22 00:00:00,4
2022-10-22 06:00:00,15
2022-10-22 12:00:00,17
2022-10-22 18:00:00,26
2022-10-23 00:00:00,12
2022-10-23 06:00:00,16
2022-10-23 12:00:00,33
2022-10-23 18:00:00,15
2022-10-24 00:00:00,14
2022-10-24 06:00:00,23
2022-10-24 12:00:00,59
2022-10-24 18:00:00,48
2022-10-25 00:00:00,25
2022-10-25 06:00:00,91
2022-10-25 12:00:00,68
2022-10-25 18:00:00,51
2022-10-26 00:00:00,41
2022-10-26 06:00:00,36
2022-10-26 12:00:00,18
2022-10-26 18:00:00,38
2022-10-27 00:00:00,5
2022-10-27 06:00:00,16
2022-10-27 12:00:00,9
2022-10-27 18:00:00,6
2022-10-28 00:00:00,1
2022-10-28 06:00:00,19
2022-10-28 12:00:00,6
2022-10-28 18:00:00,7
2022-10-29 00:00:00,2
2022-10-29 06:00:00,10
2022-10-29 12:00:00,6
2022-10-29 18:00:00,3
2022-10-30 00:00:00,3
2022-10-30 06:00:00,5
2022-10-30 12:00:00,2
2022-10-30 18:00:00,6
2022-10-31 00:00:00,
2022-10-31 06:00:00,2
2022-10-31 12:00:00,5
2022-10-31 18:00:00,4
2022-11-01 00:00:00,
2022-11-01 06:00:00,2
2022-11-01 12:00:00,3
2022-11-01 18:00:00,2
2022-11-02 00:00:00,
2022-11-02 06:00:00,2
2022-11-02 12:00:00,6
2022-11-02 18:00:00,8
2022-11-03 00:00:00,
2022-11-03 06:00:00,3
2022-11-03 12:00:00,
2022-11-03 18:00:00,4
2022-11-04 00:00:00,1
2022-11-04 06:00:00,3
2022-11-04 12:00:00,1
2022-11-04 18:00:00,6
2022-11-05 00:00:00,1
2022-11-05 06:00:00,1
2022-11-05 12:00:00,5
2022-11-05 18:00:00,1
2022-11-06 00:00:00,
2022-11-06 06:00:00,42
2022-11-06 12:00:00,151
2022-11-06 18:00:00,87
2022-11-07 00:00:00,7
2022-11-07 06:00:00,60
2022-11-07 12:00:00,8
2022-11-07 18:00:00,3
