time,count
2024-02-01,-0.048188821119929275
2024-02-02,-0.04009309917178115
2024-02-03,0.29992722265044
2024-02-04,0.3727887201837731
2024-02-05,0.20277855927266253
2024-02-06,1.4495197392874732
2024-02-07,1.886688724487472
2024-02-08,0.7451919297985867
2024-02-09,0.9313935346059936
2024-02-10,1.093307973568956
2024-02-11,0.8342448712282161
2024-02-12,1.562859846561547
2024-02-13,3.538216001909689
2024-02-14,2.9958026313837647
2024-02-15,3.2224828459319124
2024-02-16,2.016220275657842
2024-02-17,3.797279104250429
2024-02-18,2.9796111874874684
2024-02-19,5.092594615954129
2024-02-20,6.566016010517087
2024-02-21,5.448806381672646
2024-02-22,3.9834807090578357
2024-02-23,1.0609250857763635
2024-02-24,1.239030968635622
2024-02-25,2.5424422022874698
2024-02-26,0.5185117152504393
2024-02-27,-0.3072519234606692
2024-02-28,2.4371978169615445
2024-02-29,1.7247742855245094
2024-03-01,0.7128090420059943
2024-03-02,0.55899032499118
2024-03-03,1.093307973568956
2024-03-04,1.0366379199319191
2024-03-05,1.5142855148726584
2024-03-06,0.7694790956430311
2024-03-07,0.502320271354143
2024-03-08,1.89478444643562
2024-03-09,0.826149149280068
2024-03-10,1.1823609149985852
2024-03-11,2.550537924235618
2024-03-12,3.2467700117763565
2024-03-13,2.1133689390356194
2024-03-14,1.5385726807171027
2024-03-15,1.0609250857763635
2024-03-16,1.700487119680065
2024-03-17,1.2066480808430295
2024-03-18,0.899010646813401
2024-03-19,2.574825090080062
2024-03-20,1.0852122516208078
2024-03-21,0.2594486129096994
2024-03-22,1.0204464760356229
2024-03-23,0.3404058323911806
2024-03-24,0.9475849785022898
2024-03-25,0.4456502177171062
2024-03-26,0.8342448712282161
2024-03-27,0.631851822524513
2024-03-28,0.3727887201837731
2024-03-29,0.4456502177171062
2024-03-30,0.09753417394673693
2024-03-31,0.42945877382080994
2024-04-01,-0.21819898203103985
2024-04-02,-0.2991562015125211
2024-04-03,-0.3801134209940023
2024-04-04,-0.3801134209940023
2024-04-05,-0.39630486489029854
2024-04-06,
2024-04-07,-0.3882091429421504
2024-04-08,
2024-04-09,
2024-04-10,
2024-04-11,-0.39630486489029854
2024-04-12,-0.3882091429421504
2024-04-13,-0.3882091429421504
2024-04-14,-0.3882091429421504
2024-04-15,-0.3720176990458542
2024-04-16,-0.39630486489029854
2024-04-17,-0.39630486489029854
2024-04-18,-0.3882091429421504
2024-04-19,
2024-04-20,
2024-04-21,
2024-04-22,-0.39630486489029854
2024-04-23,
2024-04-24,-0.39630486489029854
2024-04-25,
2024-04-26,
2024-04-27,-0.39630486489029854
2024-04-28,
2024-04-29,-0.3882091429421504
2024-04-30,-0.39630486489029854
2024-05-01,
2024-05-02,-0.39630486489029854
2024-05-03,
2024-05-04,
2024-05-05,-0.39630486489029854
2024-05-06,-0.39630486489029854
2024-05-07,
2024-05-08,-0.39630486489029854
2024-05-09,-0.39630486489029854
2024-05-10,
2024-05-11,
2024-05-12,-0.39630486489029854
2024-05-13,-0.39630486489029854
2024-05-14,-0.39630486489029854
2024-05-15,
2024-05-16,-0.39630486489029854
2024-05-17,-0.39630486489029854
2024-05-18,
2024-05-19,
2024-05-20,
2024-05-21,
2024-05-22,
2024-05-23,-0.39630486489029854
2024-05-24,
2024-05-25,-0.39630486489029854
2024-05-26,-0.39630486489029854
2024-05-27,-0.3882091429421504
2024-05-28,
2024-05-29,-0.3882091429421504
2024-05-30,
2024-05-31,
2024-06-01,
2024-06-02,
2024-06-03,
2024-06-04,
2024-06-05,
2024-06-06,
2024-06-07,-0.39630486489029854
2024-06-08,-0.39630486489029854
2024-06-09,-0.39630486489029854
2024-06-10,
2024-06-11,
2024-06-12,-0.39630486489029854
2024-06-13,
2024-06-14,
2024-06-15,
2024-06-16,
2024-06-17,
2024-06-18,
2024-06-19,
2024-06-20,
2024-06-21,
2024-06-22,
2024-06-23,
2024-06-24,
2024-06-25,
2024-06-26,
2024-06-27,
2024-06-28,
2024-06-29,
2024-06-30,
2024-07-01,
2024-07-02,
2024-07-03,
2024-07-04,
2024-07-05,
2024-07-06,
2024-07-07,
2024-07-08,
2024-07-09,
2024-07-10,
2024-07-11,-0.39630486489029854
2024-07-12,
2024-07-13,
2024-07-14,
2024-07-15,
2024-07-16,
2024-07-17,
2024-07-18,
2024-07-19,
2024-07-20,
2024-07-21,
2024-07-22,
2024-07-23,
2024-07-24,
2024-07-25,
2024-07-26,
2024-07-27,-0.39630486489029854
2024-07-28,
2024-07-29,
2024-07-30,
2024-07-31,
2024-08-01,
2024-08-02,
2024-08-03,
2024-08-04,
2024-08-05,
2024-08-06,
2024-08-07,
2024-08-08,
2024-08-09,
2024-08-10,
2024-08-11,
2024-08-12,
2024-08-13,
2024-08-14,
2024-08-15,
2024-08-16,
2024-08-17,
2024-08-18,
2024-08-19,-0.39630486489029854
2024-08-20,
2024-08-21,-0.39630486489029854
2024-08-22,
2024-08-23,
2024-08-24,-0.39630486489029854
2024-08-25,
2024-08-26,
2024-08-27,
2024-08-28,
2024-08-29,
2024-08-30,
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,
2024-09-04,
2024-09-05,
2024-09-06,-0.39630486489029854
2024-09-07,
2024-09-08,
2024-09-09,
2024-09-10,
2024-09-11,
2024-09-12,
2024-09-13,
2024-09-14,
2024-09-15,
2024-09-16,
2024-09-17,
2024-09-18,
2024-09-19,
2024-09-20,
2024-09-21,
2024-09-22,
2024-09-23,
2024-09-24,
2024-09-25,-0.3882091429421504
2024-09-26,
2024-09-27,
2024-09-28,
2024-09-29,
2024-09-30,
2024-10-01,
2024-10-02,
2024-10-03,
2024-10-04,
2024-10-05,
2024-10-06,
2024-10-07,
2024-10-08,
2024-10-09,
2024-10-10,
2024-10-11,
2024-10-12,
2024-10-13,
2024-10-14,
2024-10-15,
2024-10-16,
2024-10-17,-0.39630486489029854
2024-10-18,
2024-10-19,
2024-10-20,
2024-10-21,
2024-10-22,
2024-10-23,
2024-10-24,
2024-10-25,
2024-10-26,
2024-10-27,
2024-10-28,
2024-10-29,
2024-10-30,
2024-10-31,
2024-11-01,
2024-11-02,
2024-11-03,
2024-11-04,
2024-11-05,
2024-11-06,
2024-11-07,
2024-11-08,
2024-11-09,
2024-11-10,
2024-11-11,
2024-11-12,
2024-11-13,
2024-11-14,
2024-11-15,
2024-11-16,
2024-11-17,
2024-11-18,-0.39630486489029854
2024-11-19,
2024-11-20,
2024-11-21,
2024-11-22,
2024-11-23,
2024-11-24,
2024-11-25,
2024-11-26,
2024-11-27,
2024-11-28,
2024-11-29,
2024-11-30,
2024-12-01,
2024-12-02,
2024-12-03,
2024-12-04,
2024-12-05,
2024-12-06,
2024-12-07,
2024-12-08,
2024-12-09,
2024-12-10,
2024-12-11,
2024-12-12,
2024-12-13,
2024-12-14,
2024-12-15,
2024-12-16,
2024-12-17,
2024-12-18,
2024-12-19,
2024-12-20,
2024-12-21,-0.39630486489029854
2024-12-22,
2024-12-23,
2024-12-24,
2024-12-25,
2024-12-26,
2024-12-27,
2024-12-28,
2024-12-29,
2024-12-30,
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,-0.39630486489029854
2025-01-04,
2025-01-05,
2025-01-06,
2025-01-07,
2025-01-08,
2025-01-09,
2025-01-10,
2025-01-11,
2025-01-12,
2025-01-13,
2025-01-14,
2025-01-15,
2025-01-16,
2025-01-17,
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,
2025-01-22,
2025-01-23,
2025-01-24,
2025-01-25,
2025-01-26,
2025-01-27,
2025-01-28,
2025-01-29,
2025-01-30,
2025-01-31,
2025-02-01,
2025-02-02,
2025-02-03,
2025-02-04,
2025-02-05,
2025-02-06,
2025-02-07,
2025-02-08,
2025-02-09,
2025-02-10,
2025-02-11,
2025-02-12,-0.3882091429421504
2025-02-13,
2025-02-14,
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,
2025-02-19,
2025-02-20,-0.39630486489029854
2025-02-21,
2025-02-22,
2025-02-23,
2025-02-24,
2025-02-25,-0.39630486489029854
2025-02-26,
2025-02-27,
2025-02-28,
2025-03-01,
2025-03-02,
2025-03-03,
2025-03-04,
2025-03-05,
2025-03-06,-0.39630486489029854
2025-03-07,
2025-03-08,
2025-03-09,
2025-03-10,
2025-03-11,
2025-03-12,
2025-03-13,
2025-03-14,
2025-03-15,-0.39630486489029854
2025-03-16,
2025-03-17,
2025-03-18,
2025-03-19,
2025-03-20,
2025-03-21,
2025-03-22,
2025-03-23,
2025-03-24,
2025-03-25,
2025-03-26,
2025-03-27,-0.3882091429421504
