time,count
2022-02-01 12:00:00,90
2022-02-02 00:00:00,86
2022-02-02 12:00:00,69
2022-02-03 00:00:00,16
2022-02-03 12:00:00,84
2022-02-04 00:00:00,26
2022-02-04 12:00:00,76
2022-02-05 00:00:00,13
2022-02-05 12:00:00,75
2022-02-06 00:00:00,25
2022-02-06 12:00:00,77
2022-02-07 00:00:00,15
2022-02-07 12:00:00,5
2022-02-08 00:00:00,5
2022-02-08 12:00:00,80
2022-02-09 00:00:00,38
2022-02-09 12:00:00,75
2022-02-10 00:00:00,16
2022-02-10 12:00:00,19
2022-02-11 00:00:00,1
2022-02-11 12:00:00,1
2022-02-12 00:00:00,
2022-02-12 12:00:00,2
2022-02-13 00:00:00,
2022-02-13 12:00:00,1
2022-02-14 00:00:00,
2022-02-14 12:00:00,4
2022-02-15 00:00:00,4
2022-02-15 12:00:00,2
2022-02-16 00:00:00,
2022-02-16 12:00:00,2
2022-02-17 00:00:00,
2022-02-17 12:00:00,3
2022-02-18 00:00:00,
2022-02-18 12:00:00,2
2022-02-19 00:00:00,
2022-02-19 12:00:00,1
2022-02-20 00:00:00,1
2022-02-20 12:00:00,1
2022-02-21 00:00:00,
2022-02-21 12:00:00,2
2022-02-22 00:00:00,
2022-02-22 12:00:00,3
2022-02-23 00:00:00,
2022-02-23 12:00:00,2
2022-02-24 00:00:00,5
2022-02-24 12:00:00,5
2022-02-25 00:00:00,3
2022-02-25 12:00:00,64
2022-02-26 00:00:00,30
2022-02-26 12:00:00,67
2022-02-27 00:00:00,41
2022-02-27 12:00:00,96
2022-02-28 00:00:00,4
2022-02-28 12:00:00,62
2022-03-01 00:00:00,
2022-03-01 12:00:00,71
2022-03-02 00:00:00,2
2022-03-02 12:00:00,58
2022-03-03 00:00:00,
2022-03-03 12:00:00,60
2022-03-04 00:00:00,
2022-03-04 12:00:00,65
2022-03-05 00:00:00,1
2022-03-05 12:00:00,59
2022-03-06 00:00:00,
2022-03-06 12:00:00,63
2022-03-07 00:00:00,
2022-03-07 12:00:00,89
2022-03-08 00:00:00,53
2022-03-08 12:00:00,48
2022-03-09 00:00:00,112
2022-03-09 12:00:00,117
2022-03-10 00:00:00,188
2022-03-10 12:00:00,120
2022-03-11 00:00:00,141
2022-03-11 12:00:00,124
2022-03-12 00:00:00,118
2022-03-12 12:00:00,82
2022-03-13 00:00:00,75
2022-03-13 12:00:00,82
2022-03-14 00:00:00,91
2022-03-14 12:00:00,75
2022-03-15 00:00:00,132
2022-03-15 12:00:00,59
2022-03-16 00:00:00,83
2022-03-16 12:00:00,103
2022-03-17 00:00:00,115
2022-03-17 12:00:00,112
2022-03-18 00:00:00,114
2022-03-18 12:00:00,66
2022-03-19 00:00:00,115
2022-03-19 12:00:00,105
2022-03-20 00:00:00,157
2022-03-20 12:00:00,107
2022-03-21 00:00:00,84
2022-03-21 12:00:00,89
2022-03-22 00:00:00,69
2022-03-22 12:00:00,110
2022-03-23 00:00:00,157
2022-03-23 12:00:00,91
2022-03-24 00:00:00,101
2022-03-24 12:00:00,26
2022-03-25 00:00:00,7
2022-03-25 12:00:00,7
2022-03-26 00:00:00,3
2022-03-26 12:00:00,2
2022-03-27 00:00:00,1
2022-03-27 12:00:00,5
