time,count
2022-06-24 18:00:00,-0.5294017863064736
2022-06-25 00:00:00,
2022-06-25 06:00:00,
2022-06-25 12:00:00,
2022-06-25 18:00:00,
2022-06-26 00:00:00,
2022-06-26 06:00:00,
2022-06-26 12:00:00,
2022-06-26 18:00:00,
2022-06-27 00:00:00,
2022-06-27 06:00:00,
2022-06-27 12:00:00,
2022-06-27 18:00:00,
2022-06-28 00:00:00,
2022-06-28 06:00:00,
2022-06-28 12:00:00,
2022-06-28 18:00:00,
2022-06-29 00:00:00,
2022-06-29 06:00:00,
2022-06-29 12:00:00,
2022-06-29 18:00:00,
2022-06-30 00:00:00,
2022-06-30 06:00:00,
2022-06-30 12:00:00,
2022-06-30 18:00:00,
2022-07-01 00:00:00,-0.20441690021347492
2022-07-01 06:00:00,0.5105498491911221
2022-07-01 12:00:00,0.1422336449523903
2022-07-01 18:00:00,-0.4860704681607404
2022-07-02 00:00:00,0.4022215538267892
2022-07-02 06:00:00,0.1422336449523903
2022-07-02 12:00:00,0.3805558947539226
2022-07-02 18:00:00,-0.03109162763054232
2022-07-03 00:00:00,1.0521913260127864
2022-07-03 06:00:00,1.7888237344902502
2022-07-03 12:00:00,0.33722457660818944
2022-07-03 18:00:00,-0.2694138774320747
2022-07-04 00:00:00,0.9438630306484536
2022-07-04 06:00:00,1.7454924163445171
2022-07-04 12:00:00,0.7922034171383876
2022-07-04 18:00:00,-0.2260825592863415
2022-07-05 00:00:00,-0.1394199229948752
2022-07-05 06:00:00,-0.5510674453793402
2022-07-05 12:00:00,-0.5510674453793402
2022-07-05 18:00:00,-0.4860704681607404
2022-07-06 00:00:00,-0.5294017863064736
2022-07-06 06:00:00,
2022-07-06 12:00:00,-0.5510674453793402
2022-07-06 18:00:00,
2022-07-07 00:00:00,
2022-07-07 06:00:00,
2022-07-07 12:00:00,
2022-07-07 18:00:00,
2022-07-08 00:00:00,-0.5510674453793402
2022-07-08 06:00:00,
2022-07-08 12:00:00,
2022-07-08 18:00:00,
2022-07-09 00:00:00,
2022-07-09 06:00:00,0.6622094627011881
2022-07-09 12:00:00,0.9005317125027205
2022-07-09 18:00:00,0.8355347352841207
2022-07-10 00:00:00,0.05557100866092398
2022-07-10 06:00:00,-0.07442294577627546
2022-07-10 12:00:00,-0.18275124114060834
2022-07-10 18:00:00,-0.44273915001500724
2022-07-11 00:00:00,-0.507736127233607
2022-07-11 06:00:00,-0.4860704681607404
2022-07-11 12:00:00,-0.46440480908787385
2022-07-11 18:00:00,-0.5510674453793402
2022-07-12 00:00:00,-0.46440480908787385
2022-07-12 06:00:00,0.29389325846245634
2022-07-12 12:00:00,2.61211877925918
2022-07-12 18:00:00,3.1537602560808446
2022-07-13 00:00:00,3.110428937935111
2022-07-13 06:00:00,2.5904531201863135
2022-07-13 12:00:00,4.453699800452839
2022-07-13 18:00:00,3.543742119392443
2022-07-14 00:00:00,1.5288358256158512
2022-07-14 06:00:00,2.5037904838948473
2022-07-14 12:00:00,1.8754863707817164
2022-07-14 18:00:00,0.5105498491911221
2022-07-15 00:00:00,0.22889628124385658
2022-07-15 06:00:00,1.9621490070731828
2022-07-15 12:00:00,1.8321550526359833
2022-07-15 18:00:00,-0.20441690021347492
2022-07-16 00:00:00,0.7272064399197878
2022-07-16 06:00:00,3.3054198695909105
2022-07-16 12:00:00,2.200471256874715
2022-07-16 18:00:00,-0.03109162763054232
2022-07-17 00:00:00,1.442173189324385
2022-07-17 06:00:00,2.1788055978018486
2022-07-17 12:00:00,1.7454924163445171
2022-07-17 18:00:00,-0.16108558206774176
2022-07-18 00:00:00,0.20723062217099
2022-07-18 06:00:00,-0.2910795365049412
2022-07-18 12:00:00,-0.2260825592863415
2022-07-18 18:00:00,-0.46440480908787385
2022-07-19 00:00:00,-0.507736127233607
2022-07-19 06:00:00,-0.4860704681607404
2022-07-19 12:00:00,
2022-07-19 18:00:00,
2022-07-20 00:00:00,-0.5294017863064736
2022-07-20 06:00:00,
2022-07-20 12:00:00,-0.5510674453793402
2022-07-20 18:00:00,
2022-07-21 00:00:00,-0.5510674453793402
2022-07-21 06:00:00,-0.5294017863064736
2022-07-21 12:00:00,
2022-07-21 18:00:00,
2022-07-22 00:00:00,
2022-07-22 06:00:00,
2022-07-22 12:00:00,
2022-07-22 18:00:00,
2022-07-23 00:00:00,
2022-07-23 06:00:00,
2022-07-23 12:00:00,
2022-07-23 18:00:00,
2022-07-24 00:00:00,-0.5510674453793402
2022-07-24 06:00:00,
2022-07-24 12:00:00,
2022-07-24 18:00:00,
2022-07-25 00:00:00,
2022-07-25 06:00:00,
2022-07-25 12:00:00,
2022-07-25 18:00:00,
2022-07-26 00:00:00,
2022-07-26 06:00:00,
2022-07-26 12:00:00,
2022-07-26 18:00:00,
2022-07-27 00:00:00,
2022-07-27 06:00:00,
2022-07-27 12:00:00,
2022-07-27 18:00:00,
2022-07-28 00:00:00,
2022-07-28 06:00:00,
2022-07-28 12:00:00,
2022-07-28 18:00:00,
2022-07-29 00:00:00,-0.2260825592863415
2022-07-29 06:00:00,0.33722457660818944
2022-07-29 12:00:00,-0.2260825592863415
2022-07-29 18:00:00,-0.4210734909421407
2022-07-30 00:00:00,0.05557100866092398
2022-07-30 06:00:00,1.2471822576685856
2022-07-30 12:00:00,0.9005317125027205
2022-07-30 18:00:00,-0.31274519557780783
2022-07-31 00:00:00,-0.4860704681607404
2022-07-31 06:00:00,-0.4210734909421407
2022-07-31 12:00:00,-0.46440480908787385
2022-07-31 18:00:00,-0.5510674453793402
2022-08-01 00:00:00,
2022-08-01 06:00:00,-0.5510674453793402
2022-08-01 12:00:00,-0.5510674453793402
2022-08-01 18:00:00,
2022-08-02 00:00:00,
2022-08-02 06:00:00,
2022-08-02 12:00:00,
2022-08-02 18:00:00,
2022-08-03 00:00:00,
2022-08-03 06:00:00,
2022-08-03 12:00:00,
2022-08-03 18:00:00,
2022-08-04 00:00:00,
2022-08-04 06:00:00,
2022-08-04 12:00:00,
2022-08-04 18:00:00,
2022-08-05 00:00:00,
2022-08-05 06:00:00,
2022-08-05 12:00:00,-0.5510674453793402
2022-08-05 18:00:00,
2022-08-06 00:00:00,
2022-08-06 06:00:00,
2022-08-06 12:00:00,
2022-08-06 18:00:00,
2022-08-07 00:00:00,
2022-08-07 06:00:00,
2022-08-07 12:00:00,
2022-08-07 18:00:00,
2022-08-08 00:00:00,
2022-08-08 06:00:00,
2022-08-08 12:00:00,
2022-08-08 18:00:00,
2022-08-09 00:00:00,-0.5510674453793402
2022-08-09 06:00:00,
2022-08-09 12:00:00,
2022-08-09 18:00:00,
2022-08-10 00:00:00,
2022-08-10 06:00:00,
2022-08-10 12:00:00,
2022-08-10 18:00:00,
2022-08-11 00:00:00,
2022-08-11 06:00:00,
2022-08-11 12:00:00,
2022-08-11 18:00:00,
2022-08-12 00:00:00,
2022-08-12 06:00:00,
2022-08-12 12:00:00,
2022-08-12 18:00:00,
2022-08-13 00:00:00,
2022-08-13 06:00:00,
2022-08-13 12:00:00,
2022-08-13 18:00:00,
2022-08-14 00:00:00,
2022-08-14 06:00:00,
2022-08-14 12:00:00,
2022-08-14 18:00:00,
2022-08-15 00:00:00,
2022-08-15 06:00:00,
2022-08-15 12:00:00,
2022-08-15 18:00:00,
2022-08-16 00:00:00,
2022-08-16 06:00:00,
2022-08-16 12:00:00,
2022-08-16 18:00:00,
2022-08-17 00:00:00,
2022-08-17 06:00:00,
2022-08-17 12:00:00,
2022-08-17 18:00:00,
2022-08-18 00:00:00,
2022-08-18 06:00:00,
2022-08-18 12:00:00,
2022-08-18 18:00:00,-0.5510674453793402
