time,count
2025-01-01 00:00:00,1
2025-01-01 12:00:00,2
2025-01-02 00:00:00,1
2025-01-02 12:00:00,2
2025-01-03 00:00:00,3
2025-01-03 12:00:00,2
2025-01-04 00:00:00,3
2025-01-04 12:00:00,4
2025-01-05 00:00:00,4
2025-01-05 12:00:00,3
2025-01-06 00:00:00,1
2025-01-06 12:00:00,3
2025-01-07 00:00:00,44
2025-01-07 12:00:00,200
2025-01-08 00:00:00,111
2025-01-08 12:00:00,15
2025-01-09 00:00:00,4
2025-01-09 12:00:00,5
2025-01-10 00:00:00,2
2025-01-10 12:00:00,12
2025-01-11 00:00:00,4
2025-01-11 12:00:00,3
2025-01-12 00:00:00,
2025-01-12 12:00:00,5
2025-01-13 00:00:00,3
2025-01-13 12:00:00,4
2025-01-14 00:00:00,2
2025-01-14 12:00:00,2
2025-01-15 00:00:00,3
2025-01-15 12:00:00,7
2025-01-16 00:00:00,7
2025-01-16 12:00:00,5
2025-01-17 00:00:00,2
2025-01-17 12:00:00,6
2025-01-18 00:00:00,2
2025-01-18 12:00:00,1
2025-01-19 00:00:00,5
2025-01-19 12:00:00,5
2025-01-20 00:00:00,2
2025-01-20 12:00:00,2
2025-01-21 00:00:00,5
2025-01-21 12:00:00,3890
2025-01-22 00:00:00,2192
2025-01-22 12:00:00,4719
2025-01-23 00:00:00,1822
2025-01-23 12:00:00,1541
2025-01-24 00:00:00,701
2025-01-24 12:00:00,1196
2025-01-25 00:00:00,377
2025-01-25 12:00:00,324
2025-01-26 00:00:00,149
2025-01-26 12:00:00,169
2025-01-27 00:00:00,136
2025-01-27 12:00:00,408
2025-01-28 00:00:00,211
2025-01-28 12:00:00,148
