time,polarity
2025-01-01 00:00:00,0.0
2025-01-01 06:00:00,
2025-01-01 12:00:00,0.0
2025-01-01 18:00:00,0.0
2025-01-02 00:00:00,0.0
2025-01-02 06:00:00,
2025-01-02 12:00:00,0.0
2025-01-02 18:00:00,1.0
2025-01-03 00:00:00,0.0
2025-01-03 06:00:00,
2025-01-03 12:00:00,
2025-01-03 18:00:00,0.0
2025-01-04 00:00:00,
2025-01-04 06:00:00,0.3333333333333333
2025-01-04 12:00:00,0.0
2025-01-04 18:00:00,
2025-01-05 00:00:00,0.5
2025-01-05 06:00:00,0.0
2025-01-05 12:00:00,
2025-01-05 18:00:00,-0.3333333333333333
2025-01-06 00:00:00,
2025-01-06 06:00:00,1.0
2025-01-06 12:00:00,0.0
2025-01-06 18:00:00,0.0
2025-01-07 00:00:00,-0.5833333333333334
2025-01-07 06:00:00,-0.46875
2025-01-07 12:00:00,-0.4857142857142857
2025-01-07 18:00:00,-0.4076923076923077
2025-01-08 00:00:00,-0.37254901960784315
2025-01-08 06:00:00,-0.6666666666666666
2025-01-08 12:00:00,0.2857142857142857
2025-01-08 18:00:00,-0.625
2025-01-09 00:00:00,-0.25
2025-01-09 06:00:00,
2025-01-09 12:00:00,0.0
2025-01-09 18:00:00,0.0
2025-01-10 00:00:00,0.0
2025-01-10 06:00:00,0.0
2025-01-10 12:00:00,0.0
2025-01-10 18:00:00,-0.75
2025-01-11 00:00:00,-0.25
2025-01-11 06:00:00,
2025-01-11 12:00:00,
2025-01-11 18:00:00,0.0
2025-01-12 00:00:00,
2025-01-12 06:00:00,
2025-01-12 12:00:00,-1.0
2025-01-12 18:00:00,-0.25
2025-01-13 00:00:00,0.0
2025-01-13 06:00:00,0.0
2025-01-13 12:00:00,0.0
2025-01-13 18:00:00,1.0
2025-01-14 00:00:00,0.0
2025-01-14 06:00:00,
2025-01-14 12:00:00,1.0
2025-01-14 18:00:00,0.0
2025-01-15 00:00:00,-1.0
2025-01-15 06:00:00,0.0
2025-01-15 12:00:00,1.0
2025-01-15 18:00:00,-0.3333333333333333
2025-01-16 00:00:00,-0.2857142857142857
2025-01-16 06:00:00,
2025-01-16 12:00:00,0.0
2025-01-16 18:00:00,0.0
2025-01-17 00:00:00,0.0
2025-01-17 06:00:00,0.0
2025-01-17 12:00:00,0.0
2025-01-17 18:00:00,0.4
2025-01-18 00:00:00,-1.0
2025-01-18 06:00:00,-1.0
2025-01-18 12:00:00,
2025-01-18 18:00:00,0.0
2025-01-19 00:00:00,0.0
2025-01-19 06:00:00,
2025-01-19 12:00:00,0.0
2025-01-19 18:00:00,1.0
2025-01-20 00:00:00,0.0
2025-01-20 06:00:00,-1.0
2025-01-20 12:00:00,
2025-01-20 18:00:00,0.0
2025-01-21 00:00:00,-0.25
2025-01-21 06:00:00,1.0
2025-01-21 12:00:00,0.078125
2025-01-21 18:00:00,0.06379585326953748
2025-01-22 00:00:00,-0.1630516080777861
2025-01-22 06:00:00,-0.16140350877192983
2025-01-22 12:00:00,-0.1839592616168046
2025-01-22 18:00:00,-0.22331639135959339
2025-01-23 00:00:00,-0.18441971383147854
2025-01-23 06:00:00,-0.11524822695035461
2025-01-23 12:00:00,-0.23397761953204477
2025-01-23 18:00:00,-0.18100358422939067
2025-01-24 00:00:00,-0.1608695652173913
2025-01-24 06:00:00,-0.16985138004246284
2025-01-24 12:00:00,-0.20979899497487436
2025-01-24 18:00:00,-0.2425
2025-01-25 00:00:00,-0.20306513409961685
2025-01-25 06:00:00,-0.04310344827586207
2025-01-25 12:00:00,-0.15976331360946747
2025-01-25 18:00:00,-0.11612903225806452
2025-01-26 00:00:00,-0.10126582278481013
2025-01-26 06:00:00,-0.15714285714285714
2025-01-26 12:00:00,-0.03409090909090909
2025-01-26 18:00:00,-0.07407407407407407
2025-01-27 00:00:00,0.0
2025-01-27 06:00:00,0.0
2025-01-27 12:00:00,-0.2
2025-01-27 18:00:00,-0.215962441314554
2025-01-28 00:00:00,-0.1746031746031746
2025-01-28 06:00:00,-0.3411764705882353
2025-01-28 12:00:00,-0.29473684210526313
2025-01-28 18:00:00,-0.03773584905660377
