time,count
2026-05-01 00:00:00,129
2026-05-01 12:00:00,100
2026-05-02 00:00:00,109
2026-05-02 12:00:00,116
2026-05-03 00:00:00,154
2026-05-03 12:00:00,217
2026-05-04 00:00:00,339
2026-05-04 12:00:00,1914
2026-05-05 00:00:00,532
2026-05-05 12:00:00,1028
2026-05-06 00:00:00,799
2026-05-06 12:00:00,1154
2026-05-07 00:00:00,948
2026-05-07 12:00:00,593
2026-05-08 00:00:00,451
2026-05-08 12:00:00,438
2026-05-09 00:00:00,90
2026-05-09 12:00:00,584
2026-05-10 00:00:00,1913
2026-05-10 12:00:00,996
2026-05-11 00:00:00,469
2026-05-11 12:00:00,284
2026-05-12 00:00:00,230
2026-05-12 12:00:00,322
2026-05-13 00:00:00,427
2026-05-13 12:00:00,477
2026-05-14 00:00:00,209
2026-05-14 12:00:00,113
2026-05-15 00:00:00,92
2026-05-15 12:00:00,69
2026-05-16 00:00:00,119
2026-05-16 12:00:00,62
2026-05-17 00:00:00,123
2026-05-17 12:00:00,57
2026-05-18 00:00:00,84
2026-05-18 12:00:00,46
2026-05-19 00:00:00,95
2026-05-19 12:00:00,38
2026-05-20 00:00:00,76
2026-05-20 12:00:00,63
2026-05-21 00:00:00,107
2026-05-21 12:00:00,69
2026-05-22 00:00:00,93
2026-05-22 12:00:00,48
2026-05-23 00:00:00,66
2026-05-23 12:00:00,48
2026-05-24 00:00:00,71
2026-05-24 12:00:00,48
2026-05-25 00:00:00,104
2026-05-25 12:00:00,84
2026-05-26 00:00:00,119
2026-05-26 12:00:00,151
2026-05-27 00:00:00,279
2026-05-27 12:00:00,324
2026-05-28 00:00:00,228
2026-05-28 12:00:00,69
