time,count
2025-08-20 06:00:00,10
2025-08-20 12:00:00,33
2025-08-20 18:00:00,56
2025-08-21 00:00:00,24
2025-08-21 06:00:00,13
2025-08-21 12:00:00,26
2025-08-21 18:00:00,21
2025-08-22 00:00:00,8
2025-08-22 06:00:00,10
2025-08-22 12:00:00,4
2025-08-22 18:00:00,9
2025-08-23 00:00:00,5
2025-08-23 06:00:00,4
2025-08-23 12:00:00,22
2025-08-23 18:00:00,28
2025-08-24 00:00:00,36
2025-08-24 06:00:00,25
2025-08-24 12:00:00,25
2025-08-24 18:00:00,52
2025-08-25 00:00:00,31
2025-08-25 06:00:00,44
2025-08-25 12:00:00,40
2025-08-25 18:00:00,18
2025-08-26 00:00:00,14
2025-08-26 06:00:00,28
2025-08-26 12:00:00,17
2025-08-26 18:00:00,32
2025-08-27 00:00:00,17
2025-08-27 06:00:00,8
2025-08-27 12:00:00,13
2025-08-27 18:00:00,8
2025-08-28 00:00:00,137
2025-08-28 06:00:00,240
2025-08-28 12:00:00,222
2025-08-28 18:00:00,132
2025-08-29 00:00:00,90
2025-08-29 06:00:00,138
2025-08-29 12:00:00,122
2025-08-29 18:00:00,90
2025-08-30 00:00:00,92
2025-08-30 06:00:00,73
2025-08-30 12:00:00,95
2025-08-30 18:00:00,53
2025-08-31 00:00:00,45
2025-08-31 06:00:00,109
2025-08-31 12:00:00,70
2025-08-31 18:00:00,43
2025-09-01 00:00:00,50
2025-09-01 06:00:00,75
2025-09-01 12:00:00,73
2025-09-01 18:00:00,81
2025-09-02 00:00:00,155
2025-09-02 06:00:00,170
2025-09-02 12:00:00,165
2025-09-02 18:00:00,243
2025-09-03 00:00:00,512
2025-09-03 06:00:00,658
2025-09-03 12:00:00,782
2025-09-03 18:00:00,418
2025-09-04 00:00:00,318
2025-09-04 06:00:00,291
2025-09-04 12:00:00,239
2025-09-04 18:00:00,155
2025-09-05 00:00:00,152
2025-09-05 06:00:00,117
2025-09-05 12:00:00,105
2025-09-05 18:00:00,95
2025-09-06 00:00:00,131
2025-09-06 06:00:00,103
2025-09-06 12:00:00,112
2025-09-06 18:00:00,122
2025-09-07 00:00:00,79
2025-09-07 06:00:00,97
2025-09-07 12:00:00,118
2025-09-07 18:00:00,101
2025-09-08 00:00:00,69
2025-09-08 06:00:00,66
2025-09-08 12:00:00,113
2025-09-08 18:00:00,54
2025-09-09 00:00:00,60
2025-09-09 06:00:00,45
2025-09-09 12:00:00,74
2025-09-09 18:00:00,26
2025-09-10 00:00:00,44
2025-09-10 06:00:00,43
2025-09-10 12:00:00,53
2025-09-10 18:00:00,73
2025-09-11 00:00:00,53
2025-09-11 06:00:00,99
2025-09-11 12:00:00,63
2025-09-11 18:00:00,73
2025-09-12 00:00:00,182
2025-09-12 06:00:00,94
2025-09-12 12:00:00,47
2025-09-12 18:00:00,22
2025-09-13 00:00:00,93
2025-09-13 06:00:00,87
2025-09-13 12:00:00,30
2025-09-13 18:00:00,18
2025-09-14 00:00:00,6
2025-09-14 06:00:00,1
2025-09-14 12:00:00,3
2025-09-14 18:00:00,
2025-09-15 00:00:00,1
2025-09-15 06:00:00,1
2025-09-15 12:00:00,5
2025-09-15 18:00:00,6
2025-09-16 00:00:00,10
2025-09-16 06:00:00,20
2025-09-16 12:00:00,48
2025-09-16 18:00:00,23
2025-09-17 00:00:00,23
