time,count
2024-07-12 00:00:00,149
2024-07-12 12:00:00,256
2024-07-13 00:00:00,356
2024-07-13 12:00:00,910
2024-07-14 00:00:00,789
2024-07-14 12:00:00,996
2024-07-15 00:00:00,740
2024-07-15 12:00:00,678
2024-07-16 00:00:00,534
2024-07-16 12:00:00,393
2024-07-17 00:00:00,361
2024-07-17 12:00:00,546
2024-07-18 00:00:00,372
2024-07-18 12:00:00,1550
2024-07-19 00:00:00,531
2024-07-19 12:00:00,364
2024-07-20 00:00:00,258
2024-07-20 12:00:00,428
2024-07-21 00:00:00,294
2024-07-21 12:00:00,383
2024-07-22 00:00:00,184
2024-07-22 12:00:00,397
2024-07-23 00:00:00,244
2024-07-23 12:00:00,390
2024-07-24 00:00:00,220
2024-07-24 12:00:00,279
2024-07-25 00:00:00,89
2024-07-25 12:00:00,99
2024-07-26 00:00:00,29
2024-07-26 12:00:00,37
2024-07-27 00:00:00,23
2024-07-27 12:00:00,13
2024-07-28 00:00:00,43
2024-07-28 12:00:00,195
2024-07-29 00:00:00,53
2024-07-29 12:00:00,414
2024-07-30 00:00:00,116
2024-07-30 12:00:00,179
2024-07-31 00:00:00,75
2024-07-31 12:00:00,399
2024-08-01 00:00:00,130
2024-08-01 12:00:00,112
2024-08-02 00:00:00,60
2024-08-02 12:00:00,295
2024-08-03 00:00:00,142
2024-08-03 12:00:00,521
2024-08-04 00:00:00,439
2024-08-04 12:00:00,479
2024-08-05 00:00:00,205
2024-08-05 12:00:00,400
2024-08-06 00:00:00,98
2024-08-06 12:00:00,177
2024-08-07 00:00:00,140
2024-08-07 12:00:00,170
2024-08-08 00:00:00,148
2024-08-08 12:00:00,126
2024-08-09 00:00:00,68
2024-08-09 12:00:00,309
2024-08-10 00:00:00,231
2024-08-10 12:00:00,187
2024-08-11 00:00:00,55
2024-08-11 12:00:00,66
2024-08-12 00:00:00,19
2024-08-12 12:00:00,138
2024-08-13 00:00:00,140
2024-08-13 12:00:00,96
2024-08-14 00:00:00,24
2024-08-14 12:00:00,32
2024-08-15 00:00:00,9
2024-08-15 12:00:00,9
2024-08-16 00:00:00,5
2024-08-16 12:00:00,7
2024-08-17 00:00:00,2
2024-08-17 12:00:00,51
2024-08-18 00:00:00,6
2024-08-18 12:00:00,1
2024-08-19 00:00:00,1
2024-08-19 12:00:00,11
2024-08-20 00:00:00,6
2024-08-20 12:00:00,11
2024-08-21 00:00:00,3
2024-08-21 12:00:00,5
2024-08-22 00:00:00,2
2024-08-22 12:00:00,
2024-08-23 00:00:00,1
2024-08-23 12:00:00,4
2024-08-24 00:00:00,3
2024-08-24 12:00:00,3
2024-08-25 00:00:00,2
2024-08-25 12:00:00,11
2024-08-26 00:00:00,9
2024-08-26 12:00:00,12
2024-08-27 00:00:00,22
2024-08-27 12:00:00,23
2024-08-28 00:00:00,9
2024-08-28 12:00:00,11
2024-08-29 00:00:00,26
2024-08-29 12:00:00,53
2024-08-30 00:00:00,17
