time,count
2023-02-01 18:00:00,117
2023-02-02 00:00:00,33
2023-02-02 06:00:00,12
2023-02-02 12:00:00,15
2023-02-02 18:00:00,93
2023-02-03 00:00:00,25
2023-02-03 06:00:00,16
2023-02-03 12:00:00,14
2023-02-03 18:00:00,75
2023-02-04 00:00:00,36
2023-02-04 06:00:00,8
2023-02-04 12:00:00,23
2023-02-04 18:00:00,79
2023-02-05 00:00:00,19
2023-02-05 06:00:00,5
2023-02-05 12:00:00,15
2023-02-05 18:00:00,142
2023-02-06 00:00:00,40
2023-02-06 06:00:00,221
2023-02-06 12:00:00,452
2023-02-06 18:00:00,424
2023-02-07 00:00:00,379
2023-02-07 06:00:00,143
2023-02-07 12:00:00,107
2023-02-07 18:00:00,109
2023-02-08 00:00:00,39
2023-02-08 06:00:00,76
2023-02-08 12:00:00,58
2023-02-08 18:00:00,65
2023-02-09 00:00:00,30
2023-02-09 06:00:00,40
2023-02-09 12:00:00,57
2023-02-09 18:00:00,67
2023-02-10 00:00:00,54
2023-02-10 06:00:00,52
2023-02-10 12:00:00,71
2023-02-10 18:00:00,75
2023-02-11 00:00:00,34
2023-02-11 06:00:00,35
2023-02-11 12:00:00,51
2023-02-11 18:00:00,76
2023-02-12 00:00:00,31
2023-02-12 06:00:00,13
2023-02-12 12:00:00,23
2023-02-12 18:00:00,23
2023-02-13 00:00:00,17
2023-02-13 06:00:00,14
2023-02-13 12:00:00,26
2023-02-13 18:00:00,9
2023-02-14 00:00:00,6
2023-02-14 06:00:00,20
2023-02-14 12:00:00,42
2023-02-14 18:00:00,179
2023-02-15 00:00:00,29
2023-02-15 06:00:00,22
2023-02-15 12:00:00,23
2023-02-15 18:00:00,16
2023-02-16 00:00:00,10
2023-02-16 06:00:00,17
2023-02-16 12:00:00,11
2023-02-16 18:00:00,4
2023-02-17 00:00:00,3
2023-02-17 06:00:00,4
2023-02-17 12:00:00,6
2023-02-17 18:00:00,9
2023-02-18 00:00:00,5
2023-02-18 06:00:00,9
2023-02-18 12:00:00,6
