time,count
2026-04-22 00:00:00,73
2026-04-22 12:00:00,31
2026-04-23 00:00:00,7
2026-04-23 12:00:00,78
2026-04-24 00:00:00,20
2026-04-24 12:00:00,272
2026-04-25 00:00:00,18
2026-04-25 12:00:00,21
2026-04-26 00:00:00,3
2026-04-26 12:00:00,7
2026-04-27 00:00:00,4
2026-04-27 12:00:00,16
2026-04-28 00:00:00,43
2026-04-28 12:00:00,81
2026-04-29 00:00:00,44
2026-04-29 12:00:00,229
2026-04-30 00:00:00,118
2026-04-30 12:00:00,73
2026-05-01 00:00:00,11
2026-05-01 12:00:00,240
2026-05-02 00:00:00,21
2026-05-02 12:00:00,255
2026-05-03 00:00:00,223
2026-05-03 12:00:00,159
2026-05-04 00:00:00,79
2026-05-04 12:00:00,34
2026-05-05 00:00:00,119
2026-05-05 12:00:00,132
2026-05-06 00:00:00,135
2026-05-06 12:00:00,137
2026-05-07 00:00:00,403
2026-05-07 12:00:00,861
2026-05-08 00:00:00,1092
2026-05-08 12:00:00,913
2026-05-09 00:00:00,1087
2026-05-09 12:00:00,1223
2026-05-10 00:00:00,447
2026-05-10 12:00:00,315
2026-05-11 00:00:00,107
2026-05-11 12:00:00,129
2026-05-12 00:00:00,169
2026-05-12 12:00:00,57
2026-05-13 00:00:00,15
2026-05-13 12:00:00,56
2026-05-14 00:00:00,16
2026-05-14 12:00:00,88
2026-05-15 00:00:00,31
2026-05-15 12:00:00,22
2026-05-16 00:00:00,29
2026-05-16 12:00:00,35
2026-05-17 00:00:00,19
2026-05-17 12:00:00,33
2026-05-18 00:00:00,5
2026-05-18 12:00:00,14
2026-05-19 00:00:00,86
2026-05-19 12:00:00,206
