time,count
2025-09-15 12:00:00,59
2025-09-16 00:00:00,172
2025-09-16 12:00:00,406
2025-09-17 00:00:00,83
2025-09-17 12:00:00,95
2025-09-18 00:00:00,3
2025-09-18 12:00:00,24
2025-09-19 00:00:00,6
2025-09-19 12:00:00,349
2025-09-20 00:00:00,275
2025-09-20 12:00:00,229
2025-09-21 00:00:00,17
2025-09-21 12:00:00,11
2025-09-22 00:00:00,2
2025-09-22 12:00:00,12
2025-09-23 00:00:00,12
2025-09-23 12:00:00,491
2025-09-24 00:00:00,128
2025-09-24 12:00:00,462
2025-09-25 00:00:00,159
2025-09-25 12:00:00,440
2025-09-26 00:00:00,56
2025-09-26 12:00:00,294
2025-09-27 00:00:00,130
2025-09-27 12:00:00,228
2025-09-28 00:00:00,55
2025-09-28 12:00:00,470
2025-09-29 00:00:00,108
2025-09-29 12:00:00,683
2025-09-30 00:00:00,573
2025-09-30 12:00:00,1115
2025-10-01 00:00:00,907
2025-10-01 12:00:00,2442
2025-10-02 00:00:00,642
2025-10-02 12:00:00,1552
2025-10-03 00:00:00,585
2025-10-03 12:00:00,1088
2025-10-04 00:00:00,249
2025-10-04 12:00:00,473
2025-10-05 00:00:00,117
2025-10-05 12:00:00,282
2025-10-06 00:00:00,170
2025-10-06 12:00:00,728
2025-10-07 00:00:00,195
2025-10-07 12:00:00,1703
2025-10-08 00:00:00,338
2025-10-08 12:00:00,1563
2025-10-09 00:00:00,362
2025-10-09 12:00:00,948
2025-10-10 00:00:00,409
2025-10-10 12:00:00,1233
2025-10-11 00:00:00,352
2025-10-11 12:00:00,650
2025-10-12 00:00:00,149
2025-10-12 12:00:00,582
2025-10-13 00:00:00,102
2025-10-13 12:00:00,306
2025-10-14 00:00:00,71
2025-10-14 12:00:00,548
2025-10-15 00:00:00,253
2025-10-15 12:00:00,1901
2025-10-16 00:00:00,656
2025-10-16 12:00:00,819
2025-10-17 00:00:00,347
2025-10-17 12:00:00,617
2025-10-18 00:00:00,361
2025-10-18 12:00:00,500
2025-10-19 00:00:00,259
2025-10-19 12:00:00,271
2025-10-20 00:00:00,132
2025-10-20 12:00:00,805
2025-10-21 00:00:00,777
2025-10-21 12:00:00,1160
2025-10-22 00:00:00,352
2025-10-22 12:00:00,805
2025-10-23 00:00:00,466
2025-10-23 12:00:00,1808
2025-10-24 00:00:00,660
2025-10-24 12:00:00,1305
2025-10-25 00:00:00,415
2025-10-25 12:00:00,532
2025-10-26 00:00:00,240
2025-10-26 12:00:00,657
2025-10-27 00:00:00,222
2025-10-27 12:00:00,2930
2025-10-28 00:00:00,1300
2025-10-28 12:00:00,1431
2025-10-29 00:00:00,438
2025-10-29 12:00:00,2023
2025-10-30 00:00:00,673
2025-10-30 12:00:00,2314
2025-10-31 00:00:00,814
2025-10-31 12:00:00,4067
2025-11-01 00:00:00,986
2025-11-01 12:00:00,1477
2025-11-02 00:00:00,403
2025-11-02 12:00:00,722
2025-11-03 00:00:00,473
2025-11-03 12:00:00,1437
2025-11-04 00:00:00,591
2025-11-04 12:00:00,1898
2025-11-05 00:00:00,786
2025-11-05 12:00:00,997
2025-11-06 00:00:00,514
2025-11-06 12:00:00,1053
2025-11-07 00:00:00,635
2025-11-07 12:00:00,2466
2025-11-08 00:00:00,1535
2025-11-08 12:00:00,1379
2025-11-09 00:00:00,438
2025-11-09 12:00:00,1994
2025-11-10 00:00:00,2251
2025-11-10 12:00:00,2292
2025-11-11 00:00:00,1160
2025-11-11 12:00:00,1374
2025-11-12 00:00:00,696
2025-11-12 12:00:00,710
2025-11-13 00:00:00,463
2025-11-13 12:00:00,834
2025-11-14 00:00:00,175
2025-11-14 12:00:00,374
2025-11-15 00:00:00,150
2025-11-15 12:00:00,278
2025-11-16 00:00:00,54
2025-11-16 12:00:00,62
2025-11-17 00:00:00,26
2025-11-17 12:00:00,43
2025-11-18 00:00:00,13
2025-11-18 12:00:00,61
2025-11-19 00:00:00,23
2025-11-19 12:00:00,23
2025-11-20 00:00:00,17
2025-11-20 12:00:00,77
2025-11-21 00:00:00,19
2025-11-21 12:00:00,35
2025-11-22 00:00:00,10
2025-11-22 12:00:00,11
2025-11-23 00:00:00,12
2025-11-23 12:00:00,141
2025-11-24 00:00:00,111
2025-11-24 12:00:00,58
2025-11-25 00:00:00,7
2025-11-25 12:00:00,19
