time,polarity
2026-06-14 00:00:00,0.75
2026-06-14 06:00:00,0.8
2026-06-14 12:00:00,0.13970588235294118
2026-06-14 18:00:00,0.13043478260869565
2026-06-15 00:00:00,0.0
2026-06-15 06:00:00,0.4782608695652174
2026-06-15 12:00:00,0.7619047619047619
2026-06-15 18:00:00,0.2909090909090909
2026-06-16 00:00:00,0.8333333333333334
2026-06-16 06:00:00,0.5833333333333334
2026-06-16 12:00:00,0.65
2026-06-16 18:00:00,0.6153846153846154
2026-06-17 00:00:00,-1.0
2026-06-17 06:00:00,0.1497005988023952
2026-06-17 12:00:00,0.20218579234972678
2026-06-17 18:00:00,0.140625
2026-06-18 00:00:00,-0.2777777777777778
2026-06-18 06:00:00,-0.1111111111111111
2026-06-18 12:00:00,0.19477434679334918
2026-06-18 18:00:00,0.12972972972972974
2026-06-19 00:00:00,0.24369747899159663
2026-06-19 06:00:00,0.3508771929824561
2026-06-19 12:00:00,0.4344262295081967
2026-06-19 18:00:00,0.09523809523809523
2026-06-20 00:00:00,0.2857142857142857
2026-06-20 06:00:00,0.13793103448275862
2026-06-20 12:00:00,0.4868421052631579
2026-06-20 18:00:00,0.14583333333333334
2026-06-21 00:00:00,0.2857142857142857
2026-06-21 06:00:00,0.3333333333333333
2026-06-21 12:00:00,0.3333333333333333
2026-06-21 18:00:00,-0.06666666666666667
2026-06-22 00:00:00,0.4444444444444444
2026-06-22 06:00:00,0.5
2026-06-22 12:00:00,0.5333333333333333
2026-06-22 18:00:00,0.4444444444444444
2026-06-23 00:00:00,0.7142857142857143
2026-06-23 06:00:00,1.0
2026-06-23 12:00:00,0.1111111111111111
2026-06-23 18:00:00,-0.29411764705882354
2026-06-24 00:00:00,0.5
2026-06-24 06:00:00,0.2
2026-06-24 12:00:00,-0.25
2026-06-24 18:00:00,0.0
2026-06-25 00:00:00,0.0
2026-06-25 06:00:00,1.0
2026-06-25 12:00:00,
2026-06-25 18:00:00,0.0
2026-06-26 00:00:00,
2026-06-26 06:00:00,1.0
2026-06-26 12:00:00,
2026-06-26 18:00:00,
2026-06-27 00:00:00,1.0
2026-06-27 06:00:00,
2026-06-27 12:00:00,0.0
2026-06-27 18:00:00,
2026-06-28 00:00:00,
2026-06-28 06:00:00,
2026-06-28 12:00:00,
2026-06-28 18:00:00,
2026-06-29 00:00:00,
2026-06-29 06:00:00,0.5
2026-06-29 12:00:00,
2026-06-29 18:00:00,
2026-06-30 00:00:00,
2026-06-30 06:00:00,
2026-06-30 12:00:00,1.0
2026-06-30 18:00:00,
2026-07-01 00:00:00,
2026-07-01 06:00:00,
2026-07-01 12:00:00,
2026-07-01 18:00:00,1.0
2026-07-02 00:00:00,1.0
2026-07-02 06:00:00,
2026-07-02 12:00:00,
2026-07-02 18:00:00,
2026-07-03 00:00:00,-1.0
2026-07-03 06:00:00,
2026-07-03 12:00:00,1.0
2026-07-03 18:00:00,
2026-07-04 00:00:00,
2026-07-04 06:00:00,
2026-07-04 12:00:00,
2026-07-04 18:00:00,
2026-07-05 00:00:00,
2026-07-05 06:00:00,
2026-07-05 12:00:00,
2026-07-05 18:00:00,
2026-07-06 00:00:00,
2026-07-06 06:00:00,
2026-07-06 12:00:00,
2026-07-06 18:00:00,
2026-07-07 00:00:00,
2026-07-07 06:00:00,
2026-07-07 12:00:00,
2026-07-07 18:00:00,
2026-07-08 00:00:00,
2026-07-08 06:00:00,
2026-07-08 12:00:00,
2026-07-08 18:00:00,
2026-07-09 00:00:00,
2026-07-09 06:00:00,
2026-07-09 12:00:00,
2026-07-09 18:00:00,
2026-07-10 00:00:00,
2026-07-10 06:00:00,
2026-07-10 12:00:00,
2026-07-10 18:00:00,
2026-07-11 00:00:00,
2026-07-11 06:00:00,
2026-07-11 12:00:00,
2026-07-11 18:00:00,
