time,polarity
2026-03-01T00:00:00,0.3955
2026-03-01T06:00:00,0.3832
2026-03-01T12:00:00,0.2555
2026-03-01T18:00:00,0.4518
2026-03-02T00:00:00,0.4502
2026-03-02T06:00:00,0.4625
2026-03-02T12:00:00,0.479
2026-03-02T18:00:00,0.4288
2026-03-03T00:00:00,0.4459
2026-03-03T06:00:00,0.6395
2026-03-03T12:00:00,0.6078
2026-03-03T18:00:00,0.5758
2026-03-04T00:00:00,0.5382
2026-03-04T06:00:00,0.5924
2026-03-04T12:00:00,0.4799
2026-03-04T18:00:00,0.5974
2026-03-05T00:00:00,0.6482
2026-03-05T06:00:00,0.5553
2026-03-05T12:00:00,0.5278
2026-03-05T18:00:00,0.4648
2026-03-06T00:00:00,0.5125
2026-03-06T06:00:00,0.536
2026-03-06T12:00:00,0.4401
2026-03-06T18:00:00,0.4401
2026-03-07T00:00:00,0.4374
2026-03-07T06:00:00,0.3167
2026-03-07T12:00:00,
2026-03-07T18:00:00,0.3591
2026-03-08T00:00:00,0.2663
2026-03-08T06:00:00,0.3301
2026-03-08T12:00:00,0.2281
2026-03-08T18:00:00,
2026-03-09T00:00:00,0.1224
2026-03-09T06:00:00,0.2056
2026-03-09T12:00:00,0.2355
2026-03-09T18:00:00,0.3074
2026-03-10T00:00:00,0.1445
2026-03-10T06:00:00,0.1833
2026-03-10T12:00:00,0.1242
2026-03-10T18:00:00,0.1233
2026-03-11T00:00:00,
2026-03-11T06:00:00,0.0921
2026-03-11T12:00:00,0.108
2026-03-11T18:00:00,-0.0016
2026-03-12T00:00:00,0.0481
2026-03-12T06:00:00,0.0459
2026-03-12T12:00:00,0.0667
2026-03-12T18:00:00,0.18
2026-03-13T00:00:00,0.0835
2026-03-13T06:00:00,0.0835
2026-03-13T12:00:00,
2026-03-13T18:00:00,0.041
2026-03-14T00:00:00,0.0778
2026-03-14T06:00:00,0.0514
2026-03-14T12:00:00,0.0366
2026-03-14T18:00:00,0.0013
